model	design	reform	target	fe_type	window_name	m_start	m_end	beta_hat	se	tvalue	pvalue	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B_relaxed	nyt	haifa_comp	Haifa-Legacy K/L	relaxed	post_all	1	24	0.5308845105806288	0.030385202820148755	17.47181066135894	0.0	76	38	38	HC1		0.9956382686167826
1B_relaxed	nyt	haifa_comp	Haifa-Legacy K/L	relaxed	post_y1	1	12	0.21383074251413828	0.016880668233415996	12.667196556286278	0.0	76	38	38	HC1		0.9956382686167826
1B_relaxed	nyt	haifa_comp	Haifa-Legacy K/L	relaxed	post_y2	13	24	0.8479382786471192	0.04388973740688151	19.31973916330997	0.0	76	38	38	HC1		0.9956382686167826
1B_relaxed	nyt	haifa_comp	Haifa-Legacy K/L	relaxed	pre_all	-12	-2	-0.013730663101157232	0.013504534586732701	-1.0167446358830232	0.3092749257870935	76	38	38	HC1		0.9956382686167826
1B_relaxed	nyt	haifa_priv	Haifa-Legacy K/L	relaxed	post_all	1	23	-0.2926044618196552	0.030060799050519577	-9.733755291331745	0.0	74	37	37	HC1		0.994459638911856
1B_relaxed	nyt	haifa_priv	Haifa-Legacy K/L	relaxed	post_y1	1	12	-0.203920155221416	0.01734276868299204	-11.758223784729331	0.0	74	37	37	HC1		0.994459638911856
1B_relaxed	nyt	haifa_priv	Haifa-Legacy K/L	relaxed	post_y2	13	23	-0.3893509781086436	0.043935013996913255	-8.861974600394989	0.0	74	37	37	HC1		0.994459638911856
1B_relaxed	nyt	haifa_priv	Haifa-Legacy K/L	relaxed	pre_all	-12	-2	-0.4310645117808741	0.01387421494639372	-31.069470485097202	0.0	74	37	37	HC1		0.994459638911856
1B_relaxed	nyt	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_all	1	24	1.5342834886061465	0.04095462394134355	37.46301005726713	0.0	72	34	38	HC1		0.992427235576362
1B_relaxed	nyt	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_y1	1	12	1.5645947073881121	0.022752568856301923	68.76562893929037	0.0	72	34	38	HC1		0.992427235576362
1B_relaxed	nyt	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_y2	13	24	1.5039722698241809	0.05915667902638517	25.423541256489	0.0	72	34	38	HC1		0.992427235576362
1B_relaxed	nyt	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	pre_all	-9	-2	-1.9731746508731325	0.01365154131378131	-144.53859864755353	0.0	72	34	38	HC1		0.992427235576362
1B_relaxed	nyt	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_all	1	23	0.2100760180374728	0.05704689287667322	3.68251463741637	0.00023094460317207854	74	37	37	HC1		0.7112920674219045
1B_relaxed	nyt	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_y1	1	12	0.22350062798175815	0.0329116689673115	6.790923553701979	1.1141754185928221e-11	74	37	37	HC1		0.7112920674219045
1B_relaxed	nyt	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_y2	13	23	0.19543098900734332	0.08337622805052237	2.343965343322087	0.01907994421811776	74	37	37	HC1		0.7112920674219045
1B_relaxed	nyt	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	pre_all	-12	-2	0.13836950723241748	0.026329335173849052	5.25533616093161	1.4775433854197217e-07	74	37	37	HC1		0.7112920674219045
