model	design	reform	target	fe_type	window_name	m_start	m_end	beta_hat	se	tvalue	pvalue	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B_relaxed	twfe	haifa_comp	Haifa-Legacy K/L	relaxed	post_all	1	24	0.15983070459812904	0.06457327353784294	2.4751835525956545	0.013316771544839456	482	38	444	HC1		0.7660061476892565
1B_relaxed	twfe	haifa_comp	Haifa-Legacy K/L	relaxed	post_y1	1	12	0.007689739190530233	0.03587404085435723	0.2143538616613981	0.8302711184597686	482	38	444	HC1		0.7660061476892565
1B_relaxed	twfe	haifa_comp	Haifa-Legacy K/L	relaxed	post_y2	13	24	0.31197167000572784	0.09327250622132864	3.344733433724216	0.0008236168796962318	482	38	444	HC1		0.7660061476892565
1B_relaxed	twfe	haifa_comp	Haifa-Legacy K/L	relaxed	pre_all	-12	-2	0.15118213955773663	0.02869923268348528	5.267811206838748	1.380599838896046e-07	482	38	444	HC1		0.7660061476892565
1B_relaxed	twfe	haifa_priv	Haifa-Legacy K/L	relaxed	post_all	1	23	-0.3048280135752684	0.006549561251730537	-46.54174560085627	0.0	481	37	444	HC1		0.991989102976764
1B_relaxed	twfe	haifa_priv	Haifa-Legacy K/L	relaxed	post_y1	1	12	-0.21097220431119515	0.0037785930298445407	-55.83353450473998	0.0	481	37	444	HC1		0.991989102976764
1B_relaxed	twfe	haifa_priv	Haifa-Legacy K/L	relaxed	post_y2	13	23	-0.4072161691360756	0.009572435675606169	-42.540496790571424	0.0	481	37	444	HC1		0.991989102976764
1B_relaxed	twfe	haifa_priv	Haifa-Legacy K/L	relaxed	pre_all	-12	-2	-0.425422872509057	0.0030228744238756143	-140.7345502508914	0.0	481	37	444	HC1		0.991989102976764
1B_relaxed	twfe	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_all	1	24	1.680510303790593	0.0525025901130084	32.00814093501681	0.0	482	34	448	HC1		0.834676480355788
1B_relaxed	twfe	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_y1	1	12	1.6458318269350278	0.029168105618337815	56.425735989529024	0.0	482	34	448	HC1		0.834676480355788
1B_relaxed	twfe	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	post_y2	13	24	1.7151887806461585	0.07583707460767898	22.61675822174297	0.0	482	34	448	HC1		0.834676480355788
1B_relaxed	twfe	haifa_comp	Haifa-Bayport K/L (SIPG central)	relaxed	pre_all	-9	-2	-2.0219169226012808	0.017500863371003372	-115.53241001534421	0.0	482	34	448	HC1		0.834676480355788
1B_relaxed	twfe	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_all	1	23	0.2390928233342599	0.00733460994161274	32.59789208118244	0.0	481	37	444	HC1		0.9902826849588419
1B_relaxed	twfe	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_y1	1	12	0.24024109257605875	0.004231505735546013	56.7743747947583	0.0	481	37	444	HC1		0.9902826849588419
1B_relaxed	twfe	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	post_y2	13	23	0.23784016597957025	0.010719814530049169	22.18696651074236	0.0	481	37	444	HC1		0.9902826849588419
1B_relaxed	twfe	haifa_priv	Haifa-Bayport K/L (SIPG central)	relaxed	pre_all	-12	-2	0.12497713555697598	0.0033852045884359603	36.91863587326584	0.0	481	37	444	HC1		0.9902826849588419
