table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	competition	1	avg_pre	Average pre	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	0.02163475779265644			84	0.9283707724927189	-12.0	-2.0	11.0	0.022
main	competition	1	avg_pre	Average pre	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	0.021925699927468904	0.03169030537892113	0.4890164284009586	84	0.9378229200614283	-12.0	-2.0	11.0	0.022 (0.032)
main	competition	1	avg_pre	Average pre	1	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	0.03484245075365121	1.9523597663587462e-08	0.0	84	0.5373374865517067	-12.0	-2.0	11.0	0.035*** (0.000)
main	competition	1	avg_pre	Average pre	1	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	0.12231664467194775	0.02051158657427996	2.4720132607569667e-09	84	0.6737655178149958	-12.0	-2.0	11.0	0.122*** (0.021)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-0.09217030757945026			84	0.9283707724927189	1.0	6.0	6.0	-0.092
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.2195969245403912	0.0675855910592651	0.0011574319038445413	84	0.9378229200614283	1.0	6.0	6.0	-0.220*** (0.068)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Haifa aggregate	baseline	Baseline	Haifa_port_KL__baseline	Haifa aggregate — Baseline	3	-0.06578569098809772	2.0988763971484485e-08	0.0	84	0.5373374865517067	1.0	6.0	6.0	-0.066*** (0.000)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Haifa aggregate	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Haifa aggregate — Controls+Trend	4	-0.25938839758876275	0.04474761129715208	6.763324567060636e-09	84	0.6737655178149958	1.0	6.0	6.0	-0.259*** (0.045)
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	0.30958752423281005			84	0.9283707724927189	7.0	12.0	6.0	0.310
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	0.054661554777221365	0.14287768257223765	0.7020342589579374	84	0.9378229200614283	7.0	12.0	6.0	0.055 (0.143)
