family	series_id	series_display	is_main_series	reform	reform_display	spec_name	bin_key	token	bin_label	a_bin	b_bin	is_reference	n_months_observed	a_used	b_used	beta	se	pvalue	n_obs	r2
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.08484114771189644	0.028210667205561455	0.002634809034402153	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.05421291011041163	0.0104197445056288	1.9620028627121762e-07	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.08362449415859707			37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.09217030757944089	0.04058031591982361	0.023128471378882194	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.309587524232819	0.11851948337133819	0.00899817501324236	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	1.6587405044545918	0.14663107852798332	1.1400878476452607e-29	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.8159423225985496	0.7154951169993746	0.254124528743791	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.37213648786704034	0.25855196604384717	0.15006264770625086	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.18959902007746798	0.08372446690375673	0.023539736954775545	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.3279483668689731	0.2514347898594114	0.19212864435747667	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	1.3087866620079636	0.6409650598410938	0.04116143532968284	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	3.1348250088646807	1.083524909664438	0.0038137117873710017	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-2.1159502124587384	0.05388514699355354	0.0	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-1.1211914358987727	0.20222520657280646	2.951806360021085e-08	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.4409873226772021			36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.3508380588574571	0.4542486573651145	0.43990832135737823	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-1.504608159947844	0.07165571613421107	6.877921741488206e-98	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	-1.3303072887823921	0.15208714894545639	2.1908697748657106e-18	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-2.712591126007869	0.4605077426308537	3.851793365702083e-09	36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-1.3317705818572882	0.24467825980591407	5.24065058041753e-08	36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.3707942740243615	0.05015260106992149	1.4320629281190962e-13	36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.03496933991968554	0.47230154527467305	0.940978332267502	36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.7363893264311203	0.4061585895871905	0.06982278261784353	36	0.41367420760795404
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.05014836961442315	0.8055434231300252	0.9503604915044436	36	0.41367420760795404
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.09247213293876921	0.025894145012049785	0.0003554037951592239	37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.03431316786845784	0.008386458171515497	4.2859761983575166e-05	37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.1132256571847563			37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.06578569098808362	0.03260547059898486	0.04363008065787787	37	0.41374535261883516
