family	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	beta	se	pvalue	n_obs	r2
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	0.0216347577926655	0.017329791341123234	0.21187940724707355	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.09217030757944089	0.04058031591982361	0.023128471378882187	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	0.309587524232819	0.11851948337133819	0.008998175013242404	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	1.6587405044545918	0.14663107852798332	0.0	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	0.8837245563906404	0.07943096878362947	0.0	37	0.49343262739145843
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-0.6142123977205908	0.5037465062373582	0.22273465482915178	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	0.3279483668689731	0.2514347898594114	0.19212864435747656	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1.3087866620079636	0.6409650598410938	0.04116143532968275	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	3.1348250088646807	1.083524909664438	0.003813711787370888	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1.9765962616515744	0.7567671278769982	0.009004190945863133	37	0.5299088678305968
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-1.6637871322042086	0.08724959300873461	0.0	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.3508380588574571	0.4542486573651145	0.43990832135737823	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	-1.504608159947844	0.07165571613421107	0.0	36	0.38566208654351175
binned	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	-1.3303072887823921	0.15208714894545639	0.0	36	0.38566208654351175
