family	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	beta	se	pvalue	n_obs	r2
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	0.021634757792658374	3.1383306597995892e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.09217030757944476	2.556001891903286e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	0.3095875242328139	3.774447284072285e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	0.5247030887750003	9.718722745224397e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	0.3167058485508425	1.822121335380751e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	0.5998920201444619	4.6477782340435995e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.2506480646415557	3.4444660002315883e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.15193230547935904	2.5887427337520937e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	0.1903896417439058	1.4291583631560008e-15	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	-0.005450271658275788	8.505355286971089e-16	0.0	37	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-1.6637871322042108	6.601243490733073e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.35083805885746494	5.857939004215913e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	-1.5046081599478476	8.23643778878891e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_13_tail	Average post, months 13-23	13	23	13	23	11	-1.330307288782393	7.261208792972711e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_full	Average full post, months 1-23	1	23	1	23	23	-1.1202633691060089	5.6403443370391e-15	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	-1.0795690700639662	2.072945306404133e-13	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	-0.7890016054626345	2.5359896726765065e-13	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	-0.6176465896393886	2.293244061334277e-13	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_13_tail	Average post, months 13-23	13	23	13	23	11	-0.3163163836456647	8.23342053583703e-14	0.0	36	1.0
exact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_full	Average full post, months 1-23	1	23	1	23	23	-0.5182334517701935	1.0215396535883756e-13	0.0	36	1.0
