family	series_id	series_display	is_main_series	reform	reform_display	spec_name	event_time	event_token	is_reference	observed_in_sample	beta	se	pvalue	n_obs	r2
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-12	-12	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-11	-11	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-10	-10	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-9	-9	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-8	-8	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-7	-7	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-6	-6	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-5	-5	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-4	-4	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-3	-3	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	-2	-2	0	1	0.11614057050234283	2.8286575379925475e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	0	0	0	1	4.900909679918554	8.881784197009898e-16	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	1	1	0	1	3.6299263605555505	2.4896170040265178e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	2	2	0	1	4.240746154241851	2.3973767260509423e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	3	3	0	1	4.6053699162672705	5.765834929506342e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	4	4	0	1	4.797677643099521	8.881784197001416e-16	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	5	5	0	1	4.664989803008749	2.0964451307467926e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	6	6	0	1	4.323361118420067	3.662053438817876e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	7	7	0	1	3.85728846372057	3.662053438817904e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	8	8	0	1	3.3950653900281367	3.662053438817995e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	9	9	0	1	3.5405495289033664	2.8086667748614675e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	10	10	0	1	3.2460830043700524	2.808666774861439e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	11	11	0	1	3.1832816690670356	2.808666774861488e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	12	12	0	1	3.0879482162743805	8.881784197010048e-16	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	13	13	0	1	3.0664416553167397	3.662053438817838e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	14	14	0	1	2.838970350196673	2.8086667748615057e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	15	15	0	1	2.809646253300919	1.9860273225981056e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	16	16	0	1	0.27856803841486233	7.760841259668604e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	17	17	0	1	0.4282239696721635	5.59582613745932e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	18	18	0	1	0.18426362456568235	2.7367262966906947e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	19	19	0	1	0.15058641697939734	3.892671453532309e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	20	20	0	1	0.2379820536819257	3.135875420939913e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	21	21	0	1	0.28237798192308006	2.5000064515218807e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	22	22	0	1	0.25041529963715625	3.310688569764721e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	23	23	0	1	0.434420319514381	5.1314887719137934e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	24	24	0	1	0.27828050493370693	7.219186877723927e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-12	-12	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-11	-11	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-10	-10	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-9	-9	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-8	-8	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-7	-7	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-6	-6	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-5	-5	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-4	-4	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-3	-3	0	0				27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	-2	-2	0	1	0.2489975160067841	3.4377512975674934e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	0	0	0	1	4.768052734414103	3.407468445521959e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	1	1	0	1	3.364212469546653	4.945497329708785e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	2	2	0	1	3.8421753177285067	4.74266974112328e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	3	3	0	1	4.073942134249481	6.2319326150573216e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	4	4	0	1	2.2723242326793756	1.3643734128841574e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	5	5	0	1	2.0067794470841562	1.2207020703830787e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	6	6	0	1	1.5322938169910247	6.397569442121924e-15	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	7	7	0	1	0.9333642167870844	5.103720420406047e-16	0.0	27	1.0
exact	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	8	8	0	1	0.338284197590204	6.47081025216025e-16	0.0	27	1.0
