table_group	reform	reform_order	row_key	row_label	row_order	row_type	series_id	series_display	spec_name	spec_display	column_key	column_label	column_order	beta	se	pvalue	n_obs	r2	a_used	b_used	n_months_used	value_display
main	competition	1	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	0.0216347577926655	0.017329791341123234	0.21187940724707355	37	0.49343262739145843	-12.0	-2.0	11.0	0.022 (0.017)
main	competition	1	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	-0.6142123977205908	0.5037465062373582	0.22273465482915178	37	0.5299088678305968	-12.0	-2.0	11.0	-0.614 (0.504)
main	competition	1	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	0.034842450753666	0.01557001294408219	0.025234620902385263	37	0.41374535261883516	-12.0	-2.0	11.0	0.035** (0.016)
main	competition	1	avg_pre	Average pre, months -12 to -2	1	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	-0.08991488557817187	0.10784924474441027	0.4044449874285043	37	0.4978796090623645	-12.0	-2.0	11.0	-0.090 (0.108)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	-0.09217030757944089	0.04058031591982361	0.023128471378882187	37	0.49343262739145843	1.0	6.0	6.0	-0.092** (0.041)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	0.3279483668689731	0.2514347898594114	0.19212864435747656	37	0.5299088678305968	1.0	6.0	6.0	0.328 (0.251)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	-0.06578569098808362	0.03260547059898486	0.04363008065787799	37	0.41374535261883516	1.0	6.0	6.0	-0.066** (0.033)
main	competition	1	post_1_6	Average post, months 1-6	2	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	0.07763305524458053	0.05524128039993154	0.1599187236640267	37	0.4978796090623645	1.0	6.0	6.0	0.078 (0.055)
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	baseline	Baseline	Haifa_Legacy_KL__baseline	Haifa-Legacy — Baseline	1	0.309587524232819	0.11851948337133819	0.008998175013242404	37	0.49343262739145843	7.0	12.0	6.0	0.310*** (0.119)
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_Legacy_KL	Haifa-Legacy	ctrl_trend	Controls+Trend	Haifa_Legacy_KL__ctrl_trend	Haifa-Legacy — Controls+Trend	2	1.3087866620079636	0.6409650598410938	0.04116143532968275	37	0.5299088678305968	7.0	12.0	6.0	1.309** (0.641)
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_port_KL	Aggregate port	baseline	Baseline	Haifa_port_KL__baseline	Aggregate port — Baseline	3	0.038637888482353056	0.046314261582523546	0.4041374963274966	37	0.41374535261883516	7.0	12.0	6.0	0.039 (0.046)
main	competition	1	post_7_12	Average post, months 7-12	3	estimate	Haifa_port_KL	Aggregate port	ctrl_trend	Controls+Trend	Haifa_port_KL__ctrl_trend	Aggregate port — Controls+Trend	4	0.35666471503063457	0.14674545980615022	0.015078041505838469	37	0.4978796090623645	7.0	12.0	6.0	0.357** (0.147)
