family	binned_variant	series_id	series_display	is_main_series	reform	reform_display	spec_name	bin_key	token	bin_label	a_bin	b_bin	is_reference	n_months_observed	a_used	b_used	beta	se	pvalue	n_obs	r2
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.08484114771189422	0.028210667205596916	0.0026348090344356055	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.05421291011041429	0.010419744505573475	1.9620028624177055e-07	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.08362449415859441	2.9582522575834598e-08	0.0	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.09217030757943956	0.040580315919824035	0.02312847137888559	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.30958752423281677	0.11851948337133866	0.008998175013243124	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	1.6587405044545913	0.14663107852798887	1.1400878476508766e-29	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.44739531983679726	0.8100534649686819	0.5807404702970083	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.24206107512759933	0.2889964967400151	0.4022600401447075	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.14624054916432438	0.09521394665289415	0.12455917647185176	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.19787295412953032	0.28508985215740285	0.4876369024938	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.9835981301593575	0.7116652465776819	0.16693858580416276	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	2.6145233579069043	1.2107244692105414	0.03081371026870075	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-1.2155109123645809	0.1486038115295265	2.849280184681681e-16	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.5809278558422779	0.14231628889192002	4.465956761417423e-05	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.4409873226772145			36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.35083805885746244	0.4542486573651193	0.43990832135737623	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-1.5046081599478427	0.07165571613423118	6.877921742343805e-98	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	-1.3303072887823886	0.15208714894546357	2.1908697748741766e-18	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-1.7632482538964638	0.3338182648326203	1.2773903311312264e-07	36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.7178621912252448	0.15414335073675026	3.206826494653543e-06	36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.34969776575521294	0.048162489441904065	3.8483341840354874e-13	36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.05996494729145274	0.47688589441280294	0.899935555009743	36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.5570690061434092	0.38284258871031557	0.14564537124268737	36	0.46010742497130364
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.3876925019207018	0.7827577656894482	0.6203950607244193	36	0.46010742497130364
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	-0.5809278558422677	0.1423162888919431	4.465956761431508e-05	36	0.387242830487292
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.387242830487292
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.4409873226771923	4.939158521129173e-08	0.0	36	0.387242830487292
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.3508380588574642	0.4542486573651207	0.43990832135737523	36	0.387242830487292
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	-1.391825243311371	0.10892767375960767	2.189473125871903e-37	36	0.387242830487292
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	-0.5915306943990872	0.1395694544064822	2.252655782676334e-05	36	0.38806326286855153
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.38806326286855153
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.4339187636393218	0.030592127453620093	1.1509320209145831e-45	36	0.38806326286855153
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.3190295431870167	0.5087495240203541	0.5306030708294147	36	0.38806326286855153
binned	compact	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	ctrl_trend	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	-1.2729474881582945	0.24881022394664165	3.1185462447858576e-07	36	0.38806326286855153
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.0924721329387701	0.02589414501206105	0.0003554037951612855	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.03431316786845162	0.00838645817155014	4.28597619868362e-05	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.11322565718476874	1.6420912188095687e-08	0.0	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.06578569098807652	0.03260547059899164	0.0436300806579443	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.038637888482353056	0.046314261582530165	0.4041374963275636	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	0.34112305752164174	0.014845674605048301	7.747140509020613e-117	37	0.4478680173049986
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.041320399538903985	0.18758576767304952	0.8256572192564717	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.08153406168410449	0.07003495824925773	0.2443466537121307	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.12896595512331643	0.02201636369878408	4.6923144840543526e-09	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.06247528089430876	0.06708504656523011	0.35170628776405477	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.3187702791549618	0.17260090815298	0.06476695796440264	37	0.5047644405201261
