family	binned_variant	series_id	series_display	is_main_series	reform	reform_display	spec_name	window_key	window_label	a_req	b_req	a_used	b_used	n_months_used	supported_full_window	beta	se	pvalue	n_obs	r2
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	0.02163475779266307	0.017329791341138698	0.21187940724753251	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.09217030757943956	0.040580315919824035	0.023128471378885518	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.30958752423281677	0.11851948337133866	0.00899817501324307	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	1.6587405044545913	0.14663107852798887	0.0	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	baseline	post_full	Average full post, months 1-24	1	24	1	24	24	1	0.88372455639064	0.079430968783633	0.0	37	0.5341517611203004
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.3540615722417073	0.57181323912906	0.5357905851765308	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_1_6	Average post, months 1-6	1	6	1	6	6	1	0.19787295412953032	0.28508985215740285	0.4876369024937999	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_7_12	Average post, months 7-12	7	12	7	12	6	1	0.9835981301593575	0.7116652465776819	0.166938585804163	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_13_tail	Average post, months 13-24	13	24	13	24	12	1	2.6145233579069043	1.2107244692105414	0.030813710268700722	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	competition	Competition clock	ctrl_trend	post_full	Average full post, months 1-24	1	24	1	24	24	1	1.6026294500256741	0.849303329317467	0.059161265155383	37	0.5445816259437768
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	avg_pre	Average pre, months -12 to -2	-12	-2	-12	-2	11	1	-0.9270640684908067	0.14008791177020716	3.647548929563982e-11	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_1_6	Average post, months 1-6	1	6	1	6	6	1	-0.35083805885746244	0.4542486573651193	0.43990832135737623	36	0.41666428856793014
binned	detailed	Haifa_Legacy_KL	Haifa-Legacy	1	privatization	Privatization clock	baseline	post_7_12	Average post, months 7-12	7	12	7	12	6	1	-1.5046081599478427	0.07165571613423118	0.0	36	0.41666428856793014
