entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa port cluster	Haifa		2018	1.0	24217.0	1	50.15783078800529	3.915174649536372	11395622.69228593	2240.986068059386	5085.0930555557325	8.534068608326177	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	2.0	24218.0	2	46.701540442814505	3.8437771500583335	11405116.688644946	2411.8690503993957	4728.746233862201	8.461415379512811	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	3.0	24219.0	3	54.38987859110062	3.99617808124081	11436224.395454898	2331.2977209099176	4905.518627192447	8.498116100801912	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	4.0	24220.0	4	50.11937502658677	3.9144076604087568	11488893.033093523	2607.434748152321	4406.205386821195	8.390769141532571	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	5.0	24221.0	5	52.371266285820006	3.9583580876022824	11563069.971011478	2441.777888319351	4735.512605927566	8.462845258668223	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	6.0	24222.0	6	57.68624601920981	4.055018774548322	11658702.727114627	2280.578284747295	5112.169490119694	8.539379150851973	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	7.0	24223.0	7	65.6704219665582	4.1846486257427395	11775738.967150604	2069.6379881526027	5689.75783908076	8.646422967177942	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	8.0	24224.0	8	61.47561500220922	4.118640592154846	11914126.504099583	2077.262667407408	5735.4934891163175	8.654429074530427	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	9.0	24225.0	9	52.800880979943685	3.9665278757992253	12073813.297569212	2103.2224830146847	5740.625823028971	8.655323511772707	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa port cluster	Haifa		2018	10.0	24226.0	10	54.02126990125103	3.989377856071335	12254747.453193702	2250.076686871537	5446.36879475982	8.602704389405808	M	M	Haifa_port_M	Haifa_port_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
