entity	port	terminal	year	quarter	quarter_index	t_index	LP	log_LP	K	L	KL	log_KL	n_months_in_quarter	month_index_min	month_index_max	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa--Bayport	Haifa	Haifa-Bayport	2021	Q3	20213	1	0.3389180745625607	-1.0819968687651413	48871.52712175201	51.47725797309375	2660.701218183443	5.740725266420196	3	24259	24261	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2021	Q4	20214	2	1.1686046811847437	0.15581045693604983	847488.5784249104	203.24715081404372	4037.5670370044377	8.22705599330146	3	24262	24264	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q1	20221	3	10.894919365803274	2.3882965673415013	1333469.7563610275	235.2703942789481	5901.432696679869	8.663718037789348	3	24265	24267	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q2	20222	4	27.929291785610737	3.3296760228726447	1375178.1608487924	656.9036735353601	2175.548163797875	7.666009643830595	3	24268	24270	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q3	20223	5	51.95777019622938	3.9504312770291747	1469742.705195158	1057.183967677073	1398.1619385484403	7.240812812850392	3	24271	24273	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q4	20224	6	81.87107987684641	4.4051458134424015	1615969.7560407193	1527.4275043037335	1075.0671046306823	6.973394602551347	3	24274	24276	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q1	20231	7	49.959556152849096	3.9112138011676554	1648866.0664569729	1685.5149544677897	987.9140839900119	6.890511936486487	3	24277	24279	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q2	20232	8	48.6276730978474	3.884192774162261	1611630.2496269885	1767.744576445789	914.731141896842	6.81714220979705	3	24280	24282	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q3	20233	9	46.722209566185384	3.8442196311984316	1575235.317380174	1569.7595576738966	1010.1608881367961	6.914532100297332	3	24283	24285	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q4	20234	10	34.69056118311811	3.5464676379369484	1539662.280288006	997.6568373384504	1575.1298384679378	7.352345252979993	3	24286	24288	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/LP_Panel_monthly.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/KL_Panel_monthly.tsv
