entity	reform	reform_label	horizon	a	b	TE	TE_se	dC	dC_se	eta	eta_se	ME	RE	share	delta	spec_te	spec_kl	spec_eta
Haifa--Legacy	haifa_comp	Haifa competition entry	[1,13]	1	13	0.5543950485062198	1.7462961952312308e-11			-7.215521645622047	0.741823155682964				0.06	porttr	None	TS+trend
Haifa--Bayport	haifa_comp	Haifa competition entry	[1,13]	1	13	0.5511532644270282	1.7462555394946817e-11			2.036401533585084	0.3528158663592386				0.06	porttr	None	TS+trend
Pooled Haifa terminals	haifa_comp	Haifa competition entry	[1,13]	1	13	0.5536970824324037	1.4209556687511789e-11			0.813325942014945	0.4902434884739247				0.06	porttr	pooled_terminals	Pooled+trend+FE
Haifa port cluster	haifa_comp	Haifa competition entry	[1,13]	1	13	0.5536970824324037	1.4209556687511789e-11			-4.902929363691278	3.2969567500139725				0.06	porttr	ts_trend	TS+trend
Haifa--Legacy	haifa_comp	Haifa competition entry	[1,12]	1	12	0.5874706724626271	1.8722432946147363e-11	0.2138307425141382	0.0168806682334159	-7.215521645622047	0.741823155682964	-1.5429003511101986	2.1303710235728257	-2.6263444686395863	0.06	porttr	None	TS+trend
Haifa--Bayport	haifa_comp	Haifa competition entry	[1,12]	1	12	0.5842281359416818	1.8722004777464677e-11	1.564594707388112	0.0227525688563019	2.036401533585084	0.3528158663592386	3.1861430615642563	-2.6019149256225744	5.453594008150097	0.06	porttr	None	TS+trend
Pooled Haifa terminals	haifa_comp	Haifa competition entry	[1,12]	1	12	0.5868422230670812	1.5523797100758883e-11	0.47562788551213697		0.813325942014945	0.4902434884739247	0.38684049803273524	0.200001725034346	0.6591899540066257	0.06	porttr	pooled_terminals	Pooled+trend+FE
Haifa port cluster	haifa_comp	Haifa competition entry	[1,12]	1	12	0.5868422230670812	1.5523797100758883e-11	-0.1426747569053257	0.0880443045992429	-4.902929363691278	3.2969567500139725	0.6995242550886362	-0.11268203202155502	1.1920141864241327	0.06	porttr	ts_trend	TS+trend
Haifa--Legacy	haifa_priv	Haifa privatization	[1,8]	1	8	0.1403498153318194	0.04399810070516642			-7.215521645622047	0.741823155682964				0.06	porttr	None	TS+trend
Haifa--Legacy	haifa_priv	Haifa privatization	[1,8]	1	8	0.1403498153318194	0.04399810070516642			-7.215521645622047	0.741823155682964				0.06	porttr	None	TS+trend
