model	spec_id	dep_scenario	delta	param	beta	se	tvalue	pvalue	n_obs	r2	dep_var	formula	description
2A	2A_baseline	central	0.06	Intercept	-1.3708865906606373	0.027716753167640832	-49.46057651013541	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(unit_id)[T.Haifa--Legacy]	0.012542224073000013				84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.1]	-0.009193770126380008	0.01726092273065095	-0.5326349158642742	0.5942863273750085	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.2]	-0.029965442603217634	0.03452154148750935	-0.868021568911104	0.3853825250805931	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.3]	1.2813949372734081	0.05122650478502299	25.014295678592685	4.273435232102025e-138	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.4]	1.2721989129961102	0.06848652135056356	18.575902059385903	5.035182065676937e-77	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.5]	1.260580853390885	0.0851908925815357	14.797131655644888	1.528636397514159e-49	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.6]	3.4445136903972626	0.08611728351842499	39.99793711166355	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.7]	3.4441320010447454	0.08704355438754971	39.56791545655651	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.8]	3.443790149304554	0.08788436345336788	39.185470702440206	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.9]	4.4396789601790925	0.08881041503931722	49.9905214744645	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.10]	4.43931035128811	0.08970791235477123	49.48627422887519	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.11]	4.438928347506429	0.09063373029310005	48.976560196202854	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.12]	5.057002451831833	0.09153100748219585	55.24906357897891	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.13]	5.056620285635722	0.09245659146479429	54.691831112562554	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
2A	2A_baseline	central	0.06	C(time_fe)[T.14]	5.056238035703564	0.0933820548268008	54.14571402483655	0.0	84	0.9983876391651645	log_LP	log_LP ~ log_KL + C(unit_id) + C(time_fe)	Terminal ln(LP) on ln(K/L) with unit and time FE (full sample)
