terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Bayport	2021	7	2021-07-01	0.3132552315866705	-1.1607369843504618	0.04	low	119137.2040262206	2580.950719154392	46.16020102284403	3.83211797710466	0
Haifa--Bayport	2021	8	2021-08-01	0.3132552315866705	-1.1607369843504618	0.04	low	192827.1004407518	2730.8078815465105	70.61174158159746	4.257196442025068	1
Haifa--Bayport	2021	9	2021-09-01	0.3132552315866705	-1.1607369843504618	0.04	low	312096.3847380909	2290.201277614755	136.27465314452158	4.914672357685844	2
Haifa--Bayport	2021	10	2021-10-01	1.168595606909555	0.15580269185469597	0.04	low	497351.66603135254	2606.1548363861057	190.8373436173188	5.251421461128052	3
Haifa--Bayport	2021	11	2021-11-01	1.168595606909555	0.15580269185469597	0.04	low	804978.4317508058	2757.3854722550113	291.9354003459256	5.676532546100906	4
Haifa--Bayport	2021	12	2021-12-01	1.168595606909555	0.15580269185469597	0.04	low	1282800.3902914345	2757.3854722550113	465.2234528683254	6.14251783396601	5
Haifa--Bayport	2022	1	2022-01-01	10.344218571662008	2.336427771530732	0.04	low	1311191.00244214	2969.3380083915863	441.5768763059677	6.0903521301543	6
Haifa--Bayport	2022	2	2022-02-01	10.344218571662008	2.336427771530732	0.04	low	1340209.948404088	2969.3380083915863	451.34974348374874	6.112242523412882	7
Haifa--Bayport	2022	3	2022-03-01	10.344218571662008	2.336427771530732	0.04	low	1366972.2364659111	2969.3380083915863	460.3626237911408	6.132014491517407	8
Haifa--Bayport	2022	4	2022-04-01	27.865006081181804	3.3273716392587556	0.04	low	1397225.7185197086	3304.4263011656717	422.8345834273327	6.046981046836701	9
Haifa--Bayport	2022	5	2022-05-01	27.865006081181804	3.3273716392587556	0.04	low	1427140.643506335	3304.4263011656717	431.8875694104287	6.068165298377264	10
Haifa--Bayport	2022	6	2022-06-01	27.865006081181804	3.3273716392587556	0.04	low	1458725.757449972	3304.4263011656717	441.44599531101386	6.090055691635844	11
Haifa--Bayport	2022	7	2022-07-01	51.83817740872656	3.948126893415286	0.04	low	1489957.412458733	3154.5523981500437	472.3197539316525	6.157656200993878	12
Haifa--Bayport	2022	8	2022-08-01	51.83817740872656	3.948126893415286	0.04	low	1522932.7711648326	3154.5523981500437	482.7730146622201	6.179546594252458	13
Haifa--Bayport	2022	9	2022-09-01	51.83817740872656	3.948126893415286	0.04	low	1556637.9321274988	3154.5523981500437	493.45762430206383	6.20143698751104	14
Haifa--Bayport	2022	10	2022-10-01	82.60565916291942	4.414078191048307	0.04	low	1589965.9093853657	3898.703183843473	407.81917330211417	6.010823873469923	15
Haifa--Bayport	2022	11	2022-11-01	82.60565916291942	4.414078191048307	0.04	low	1625154.630723335	3898.703183843473	416.8449235782045	6.032714266728504	16
Haifa--Bayport	2022	12	2022-12-01	82.60565916291942	4.414078191048307	0.04	low	1659949.566305586	3898.703183843473	425.76966956205973	6.053898518269066	17
Haifa--Bayport	2023	1	2023-01-01	50.09284147902468	3.913878113231629	0.04	low	1654204.3644146586	2803.3808012093723	590.0747995780804	6.380249307809892	18
Haifa--Bayport	2023	2	2023-02-01	50.09284147902468	3.913878113231629	0.04	low	1648479.0470704867	2803.3808012093723	588.0325093042431	6.376782234302691	19
Haifa--Bayport	2023	3	2023-03-01	50.09284147902468	3.913878113231629	0.04	low	1643324.826636797	2803.3808012093723	586.1939362386553	6.3736506840381235	20
Haifa--Bayport	2023	4	2023-04-01	48.71723718811278	3.886032913832124	0.04	low	1637637.1641360535	3018.370483749055	542.5567116273872	6.2962926175129486	21
Haifa--Bayport	2023	5	2023-05-01	48.71723718811278	3.886032913832124	0.04	low	1632151.7184391024	3018.370483749055	540.7393582817709	6.292937385086626	22
Haifa--Bayport	2023	6	2023-06-01	48.71723718811278	3.886032913832124	0.04	low	1626502.7268496011	3018.370483749055	538.8678214310379	6.289470311579427	23
Haifa--Bayport	2023	7	2023-07-01	46.80826410937859	3.8460597708682944	0.04	low	1621054.577174283	2789.650113378685	581.0960196764398	6.364916009421463	24
Haifa--Bayport	2023	8	2023-08-01	46.80826410937859	3.8460597708682944	0.04	low	1615443.9935691403	2789.650113378685	579.0848055896856	6.361448935914264	25
Haifa--Bayport	2023	9	2023-09-01	46.80826410937859	3.8460597708682944	0.04	low	1609852.8285874226	2789.650113378685	577.080552455967	6.357981862407063	26
Haifa--Bayport	2023	10	2023-10-01	34.38165722348395	3.537523201919321	0.04	low	1604460.4495765576	2389.492214663643	671.4650249665741	6.50946192967246	27
Haifa--Bayport	2023	11	2023-11-01	34.38165722348395	3.537523201919321	0.04	low	1598907.2994110736	2389.492214663643	669.1410374133166	6.505994856165262	28
