entity	port	terminal	year	month	month_index	t_index	LP	log_LP	K	L	KL	log_KL	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa--Bayport	Haifa	Haifa-Bayport	2021	9.0	202109.0	1	46.15735826497774	3.83205639060066	138148.05880739723	17.58060693871951	7857.980062288982	8.96928486286512	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2021	12.0	202112.0	2	42.4049388301	3.7472648372964104	1333597.1094869685	228.06834521519625	5847.357327158397	8.673745099213843	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	3.0	202203.0	3	72.92141475165256	4.289382351043713	1339437.2863574931	303.69498132517356	4410.468953134676	8.391736301366638	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	6.0	202206.0	4	52.05887566836062	3.9523753024903425	1398943.6038384938	693.88291036455	2016.109033588277	7.608924711849936	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	9.0	202209.0	5	39.09702687869883	3.6660464251922575	1510904.13658176	1178.3794149236296	1282.1881623582851	7.156323399220947	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	12.0	202212.0	6	37.568231446871515	3.6261587849317434	1674134.327762938	1724.6602165510285	970.7038590539696	6.878021436247488	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	3.0	202303.0	7	43.92050421768083	3.7823812775015155	1636327.8858417217	1863.4934023427188	878.0969569221911	6.777757016834596	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	6.0	202306.0	8	43.66519784315333	3.7765513967876045	1599375.214748233	1651.1912002618865	968.6190275811576	6.875871374191994	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	9.0	202309.0	9	45.45377644059719	3.8166959071738433	1563257.034047996	1620.5293722598851	964.6582535359906	6.871773897202625	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	12.0	202312.0	10	48.47491795109803	3.88104650852487	1527954.4987104386	828.0120598551559	1845.3287974787752	7.520412750612706	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	3.0	202403.0	11	48.68859214985032	3.88544475521199	1493449.1892763097	1300.4740013872986	1148.3883473896074	7.046114801373423	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	6.0	202406.0	12	48.64906758842135	3.8846326427427247	1459723.1022471343	745.9713836664157	1956.8084436063232	7.579070079930918	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	9.0	202409.0	13	52.03456625237276	3.9519082333651174	1426758.6406917055	853.4760131009494	1671.703268505272	7.421598306905137	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	12.0	202412.0	14	51.061468522468395	3.9330301721218164	1394538.6050647062	921.5288489409972	1513.288061103331	7.322040086349318	Q	M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2021	9.0	202109.0	1	47.441879356675614	3.8595053693490575	977693.677617832	2339.7149405974196	417.86871582235955	6.035167306212251	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Legacy	Haifa	Haifa-Legacy	2021	12.0	202112.0	2	45.86604529937136	3.8257250894872907	998894.4404558504	2543.69985097222	392.6935169155536	5.973029452447316	Q	M	Haifa_Legacy_Q	Haifa_Legacy_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
