entity	port	terminal	year	quarter	quarter_index	t_index	LP	log_LP	K	L	KL	log_KL	n_months_in_quarter	month_index_min	month_index_max	lp_freq	kl_freq	source_lp	source_kl	lp_source_file	kl_source_file
Haifa--Bayport	Haifa	Haifa-Bayport	2021	Q3	20213	1	46.15735826497774	3.83205639060066	138148.05880739723	17.58060693871951	7857.980062288982	8.96928486286512	1	202109	202109	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2021	Q4	20214	2	42.4049388301	3.7472648372964104	1333597.1094869685	228.06834521519625	5847.357327158397	8.673745099213843	1	202112	202112	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q1	20221	3	72.92141475165256	4.289382351043713	1339437.2863574931	303.69498132517356	4410.468953134676	8.391736301366638	1	202203	202203	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q2	20222	4	52.05887566836062	3.9523753024903425	1398943.6038384938	693.88291036455	2016.109033588277	7.608924711849936	1	202206	202206	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q3	20223	5	39.09702687869883	3.6660464251922575	1510904.13658176	1178.3794149236296	1282.1881623582851	7.156323399220947	1	202209	202209	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2022	Q4	20224	6	37.568231446871515	3.6261587849317434	1674134.327762938	1724.6602165510285	970.7038590539696	6.878021436247488	1	202212	202212	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q1	20231	7	43.92050421768083	3.7823812775015155	1636327.8858417217	1863.4934023427188	878.0969569221911	6.777757016834596	1	202303	202303	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q2	20232	8	43.66519784315333	3.7765513967876045	1599375.214748233	1651.1912002618865	968.6190275811576	6.875871374191994	1	202306	202306	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q3	20233	9	45.45377644059719	3.8166959071738433	1563257.034047996	1620.5293722598851	964.6582535359906	6.871773897202625	1	202309	202309	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2023	Q4	20234	10	48.47491795109803	3.88104650852487	1527954.4987104386	828.0120598551559	1845.3287974787752	7.520412750612706	1	202312	202312	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
Haifa--Bayport	Haifa	Haifa-Bayport	2024	Q1	20241	11	48.68859214985032	3.88544475521199	1493449.1892763097	1300.4740013872986	1148.3883473896074	7.046114801373423	1	202403	202403	Q	Qmean_from_M	Haifa_SIPG_Q	Haifa_Bayport_KL	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/LP/raw_from_l_v6_tonsonly/LP_Panel.tsv	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Data/KL/common_rule_v6_tonsonly/KL_Panel_monthly.tsv
