kind	reform	target	design	spec_name	window_name	m_start	m_end	n_rows
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	baseline	avg_pre	-4	-2	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	baseline	full_post	1	8	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	baseline	post_y1	1	4	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	baseline	post_y1_2	1	8	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	baseline	post_y2	5	8	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	porttr	avg_pre	-4	-2	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	porttr	full_post	1	8	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	porttr	post_y1	1	4	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	porttr	post_y1_2	1	8	1
m1a	ashdod_comp	Ashdod-Aggregate	TWFE	porttr	post_y2	5	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	baseline	avg_pre	-4	-2	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	baseline	full_post	1	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	baseline	post_y1	1	4	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	baseline	post_y1_2	1	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	baseline	post_y2	5	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	porttr	avg_pre	-4	-2	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	porttr	full_post	1	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	porttr	post_y1	1	4	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	porttr	post_y1_2	1	8	1
m1a	ashdod_comp	Ashdod-Legacy	TWFE	porttr	post_y2	5	8	1
m1a	haifa_comp	Haifa-Aggregate	NYT	baseline	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Aggregate	NYT	baseline	full_post	1	4	1
m1a	haifa_comp	Haifa-Aggregate	NYT	baseline	post_y1	1	4	1
m1a	haifa_comp	Haifa-Aggregate	NYT	porttr	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Aggregate	NYT	porttr	full_post	1	4	1
m1a	haifa_comp	Haifa-Aggregate	NYT	porttr	post_y1	1	4	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	full_post	1	13	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	post_y1	1	4	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	post_y1_2	1	8	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	post_y2	5	8	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	baseline	post_y3	9	12	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	full_post	1	13	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	post_y1	1	4	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	post_y1_2	1	8	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	post_y2	5	8	1
m1a	haifa_comp	Haifa-Aggregate	TWFE	porttr	post_y3	9	12	1
m1a	haifa_comp	Haifa-Legacy	NYT	baseline	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Legacy	NYT	baseline	full_post	1	4	1
m1a	haifa_comp	Haifa-Legacy	NYT	baseline	post_y1	1	4	1
m1a	haifa_comp	Haifa-Legacy	NYT	porttr	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Legacy	NYT	porttr	full_post	1	4	1
m1a	haifa_comp	Haifa-Legacy	NYT	porttr	post_y1	1	4	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	full_post	1	13	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	post_y1	1	4	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	post_y1_2	1	8	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	post_y2	5	8	1
m1a	haifa_comp	Haifa-Legacy	TWFE	baseline	post_y3	9	12	1
m1a	haifa_comp	Haifa-Legacy	TWFE	porttr	avg_pre	-4	-2	1
m1a	haifa_comp	Haifa-Legacy	TWFE	porttr	full_post	1	13	1
m1a	haifa_comp	Haifa-Legacy	TWFE	porttr	post_y1	1	4	1
m1a	haifa_comp	Haifa-Legacy	TWFE	porttr	post_y1_2	1	8	1
m1a	haifa_comp	Haifa-Legacy	TWFE	porttr	post_y2	5	8	1
