row_key	row_label	reform	entity	horizon	m_start	m_end	lp_family	lp_spec	lp_design	lp_spec_name	lp_window_name	lp_source_file	lp_target_raw	kl_spec	kl_variant	kl_design	kl_spec_name	kl_window_name	kl_source_file	kl_target_raw	kl_derivation_note	kl_component_windows	kl_component_month_weights	kl_component_normalized_weights	kl_component_betas	kl_component_ses	dC_se_method	eta_entity	eta_family	eta_source	eta_role	eta_spec	eta_preferred_flag	eta_usage_class	TE	TE_se	TE_pvalue	TE_N	TE_R2	TE_ci_lo	TE_ci_hi	dC	dC_se	dC_pvalue	dC_N	dC_R2	dC_ci_lo	dC_ci_hi	eta	eta_se	eta_pvalue	eta_N	eta_R2	CD	CD_se	CD_pvalue	CD_ci_lo	CD_ci_hi	residual	share_explained	share_se	share_ci_lo	share_ci_hi	sign_consistent	share_valid	eta_uncertainty_included	manual_aggregate_available	status	reason	eta_interpretation_class	preferred_rule_version
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0921703; 0.309588; 1.65874	0.0405803; 0.118519; 0.146631	independence_weighted	Haifa--Legacy	manual	HPC_labor_share	preferred	manual	1	preferred_manual	0.1462653440601893	0.1289724535709685		44.0	0.7939079554918179	-0.10651601993667328	0.3990467080570519	0.22794183110575802	0.05890878278244669	0.00010910209841030749			0.11248273847906928	0.3434009237324468	0.251					0.05721339960754526	0.014786104478394119	0.00010910209841030749	0.028233167358246387	0.08619363185684414	0.08905194445264403	0.3911616929845085	0.35942399561524013	-0.31329639360084444	1.0956197795698615	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	preferred_manual	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0921703; 0.309588; 1.65874	0.0405803; 0.118519; 0.146631	independence_weighted	Haifa--Legacy	manual	one_third_benchmark	robustness	manual	0	manual_robustness	0.1462653440601893	0.1289724535709685		44.0	0.7939079554918179	-0.10651601993667328	0.3990467080570519	0.22794183110575802	0.05890878278244669	0.00010910209841030749			0.11248273847906928	0.3434009237324468	0.3333333333333333					0.075980610368586	0.01963626092748223	0.00010910209841030749	0.03749424615968975	0.11446697457748226	0.07028473369160329	0.5194710398200644	0.47732270334029225	-0.416064267730205	1.4550063473703339	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	manual_robustness	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0921703; 0.309588; 1.65874	0.0405803; 0.118519; 0.146631	independence_weighted	Haifa--Legacy	manual	hazan_tsur_benchmark	robustness	manual	0	manual_robustness	0.1462653440601893	0.1289724535709685		44.0	0.7939079554918179	-0.10651601993667328	0.3990467080570519	0.22794183110575802	0.05890878278244669	0.00010910209841030749			0.11248273847906928	0.3434009237324468	0.42					0.09573556906441837	0.024741688768627607	0.00010910209841030749	0.047242750161209095	0.14422838796762763	0.050529774995770924	0.6545335101732811	0.6014266062087682	-0.5242409773400581	1.8333079976866204	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	manual_robustness	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0921703; 0.309588; 1.65874	0.0405803; 0.118519; 0.146631	independence_weighted	Haifa--Legacy	regression	legacy_ts_trend	robustness	TS+trend	0	regression_robustness	0.1462653440601893	0.1289724535709685		44.0	0.7939079554918179	-0.10651601993667328	0.3990467080570519	0.22794183110575802	0.05890878278244669	0.00010910209841030749			0.11248273847906928	0.3434009237324468	0.2973714495310104	0.0273679567527447	1.6796787914728816e-27	14.0	0.8872997481180448	0.06778339272467203	0.018595413008052585	0.0002672178369687028	0.03133705295124133	0.10422973249810272	0.07848195133551726	0.46342756830202136	0.4279570339227791	-0.3753528051172119	1.3022079417212546	True	True	True	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	regression_robustness	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	+Tr	TWFE	porttr	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Controls+Trend	SummaryDerived	binned	ctrl_trend	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	0.197873; 0.983598; 2.61452	0.28509; 0.711665; 1.21072	independence_weighted	Haifa--Legacy	manual	HPC_labor_share	preferred	manual	1	preferred_manual	0.93474598652902	0.6276785445730095		44.0	0.6731322739293357	-0.2954813547025976	2.1649733277606376	0.7464115279723256	0.3658873062832814	0.041349938329061864			0.029285585256718205	1.463537470687933	0.251					0.18734929352105373	0.09183771387710364	0.041349938329061864	0.007350681899436273	0.3673479051426712	0.7473966930079663	0.200428026673573	0.16663257130746162	-0.12616581174035413	0.5270218650875002	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	preferred_manual	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	+Tr	TWFE	porttr	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Controls+Trend	SummaryDerived	binned	ctrl_trend	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	0.197873; 0.983598; 2.61452	0.28509; 0.711665; 1.21072	independence_weighted	Haifa--Legacy	manual	one_third_benchmark	robustness	manual	0	manual_robustness	0.93474598652902	0.6276785445730095		44.0	0.6731322739293357	-0.2954813547025976	2.1649733277606376	0.7464115279723256	0.3658873062832814	0.041349938329061864			0.029285585256718205	1.463537470687933	0.3333333333333333					0.24880384265744185	0.12196243542776047	0.041349938329061864	0.009761861752239365	0.48784582356264433	0.6859421438715781	0.2661726781853559	0.22129159536183482	-0.1675508788052512	0.699896235175963	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	manual_robustness	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	+Tr	TWFE	porttr	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Controls+Trend	SummaryDerived	binned	ctrl_trend	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	0.197873; 0.983598; 2.61452	0.28509; 0.711665; 1.21072	independence_weighted	Haifa--Legacy	manual	hazan_tsur_benchmark	robustness	manual	0	manual_robustness	0.93474598652902	0.6276785445730095		44.0	0.6731322739293357	-0.2954813547025976	2.1649733277606376	0.7464115279723256	0.3658873062832814	0.041349938329061864			0.029285585256718205	1.463537470687933	0.42					0.3134928417483767	0.1536726686389782	0.041349938329061864	0.012299945807821622	0.6146857376889319	0.6212531447806433	0.33537757451354844	0.27882741015591184	-0.21111410729461644	0.8818692563217133	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	manual_robustness	v10_baseline_first_manual_first
competition_legacy	Haifa competition - Legacy	haifa_comp	Haifa--Legacy	[1,13]	1	13	Conventional DiD	+Tr	TWFE	porttr	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Legacy	Controls+Trend	SummaryDerived	binned	ctrl_trend	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa--Legacy	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	0.197873; 0.983598; 2.61452	0.28509; 0.711665; 1.21072	independence_weighted	Haifa--Legacy	regression	legacy_ts_trend	robustness	TS+trend	0	regression_robustness	0.93474598652902	0.6276785445730095		44.0	0.6731322739293357	-0.2954813547025976	2.1649733277606376	0.7464115279723256	0.3658873062832814	0.041349938329061864			0.029285585256718205	1.463537470687933	0.2973714495310104	0.0273679567527447	1.6796787914728816e-27	14.0	0.8872997481180448	0.22196147801978677	0.11070546138522062	0.04496591717304299	0.004982760812864667	0.4389401952267089	0.7127845085092332	0.2374564654125913	0.1986233159636734	-0.15183808036612817	0.6267510111913108	True	True	True	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	regression_robustness	v10_baseline_first_manual_first
competition_aggregate	Haifa competition - Aggregate	haifa_comp	Haifa-Aggregate	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Aggregate	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa port cluster	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0657857; 0.0386379; 0.341123	0.0326055; 0.0463143; 0.0148457	independence_weighted	Haifa port cluster	manual	Haifa_port_HPC_IPC_2024_proxy	preferred	manual	1	preferred_manual_aggregate	0.044103601439094	0.0517108248315402		44.0	0.9009139017564262	-0.0572477528415843	0.1454549557197723	0.013710480191330823	0.026166624192472107	0.600300625694469			-0.03757516082290898	0.06499612120557063	0.6520393372491453					0.008939772417322885	0.017061668296506967	0.600300625694469	-0.024500482959999625	0.04238002779464539	0.03516382902177112	0.20269937432815985	0.45402588226383467	-0.687175002957979	1.0925737516142986	True	True	False	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	preferred_manual_aggregate	v10_baseline_first_manual_first
competition_aggregate	Haifa competition - Aggregate	haifa_comp	Haifa-Aggregate	[1,13]	1	13	Conventional DiD	Baseline	TWFE	baseline	full_post	/Users/elyekehat/Downloads/Fall 2025/Econ H191/Thesis/Design/Output (new)/Model_1A_v8_2/model1a_q_window_betas_twfe.tsv	Haifa-Aggregate	Baseline	SummaryDerived	binned	baseline	Derived from [1,6], [7,12], [13,24/23]	intended Model_1B_v8/model1b_binned_window_betas_summary.tsv	Haifa port cluster	Weighted-average K/L effect from intended Model 1B summary bins; uncertainty assumes independent component bins.	[1,6]; [7,12]; [13,24]	6; 6; 1	0.461538; 0.461538; 0.076923	-0.0657857; 0.0386379; 0.341123	0.0326055; 0.0463143; 0.0148457	independence_weighted	Haifa port cluster	regression	cluster_ts_trend	robustness	TS+trend	0	aggregate_regression_fallback	0.044103601439094	0.0517108248315402		44.0	0.9009139017564262	-0.0572477528415843	0.1454549557197723	0.013710480191330823	0.026166624192472107	0.600300625694469			-0.03757516082290898	0.06499612120557063	0.5570097682663729	0.0669624484974591	8.927852156904576e-17	44.0	0.6213994121404087	0.007636871394193878	0.014603951937230675	0.6010216893576439	-0.020986348434732197	0.036260091223119954	0.03646673004490013	0.17315754598272912	0.38841342913421617	-0.5881187862320351	0.9344338781974934	True	True	True	True	ok	LP exact preferred horizon matched to derived K/L horizon from intended summary bins.	aggregate_regression_fallback	v10_baseline_first_manual_first
