port	terminal	year	quarter	TEU_i_q	w	Pi_teu_per_hour_i_y	LP_mix
Ashdod	Ashdod-HCT	2021	Q3	8695.19848739153	0.5456742636361739	31.200000000000003	17.025037025448626
Ashdod	Ashdod-HCT	2021	Q4	15628.2163177368	0.024953743832377476	31.200000000000003	0.7785568075701773
Ashdod	Ashdod-HCT	2022	Q1	20319.0	0.1651287941732178	29.6	4.887812307527247
Ashdod	Ashdod-HCT	2022	Q2	26586.0	0.4856961043238832	29.6	14.376604687986944
Ashdod	Ashdod-HCT	2022	Q3	60333.0	1.4040213705181182	29.6	41.5590325673363
Ashdod	Ashdod-HCT	2022	Q4	58997.25	1.945153730984781	29.6	57.57655043714952
Ashdod	Ashdod-HCT	2023	Q1	88325.0	0.7965617955264122	28.0	22.30373027473954
Ashdod	Ashdod-HCT	2023	Q2	150543.75	1.2350408309506846	28.0	34.58114326661917
Ashdod	Ashdod-HCT	2023	Q3	148688.25	1.1168893285176165	28.0	31.272901198493262
Ashdod	Ashdod-HCT	2023	Q4	87411.25	0.8515080450052865	28.0	23.842225260148023
Ashdod	Ashdod-HCT	2024	Q1	102072.75	0.7413492271659379	61.0	45.22230285712221
Ashdod	Ashdod-HCT	2024	Q2	184935.0	1.1533670795678048	61.0	70.35539185363609
Ashdod	Ashdod-HCT	2024	Q3	218264.5	1.0793686188085398	61.0	65.84148574732093
Ashdod	Ashdod-HCT	2024	Q4	187394.75	1.0259150744577177	61.0	62.580819541920775
