port	year	month	month_index	quarter	TEU_port_m	tons_port_m	tons_source	w	w_source	Pi_port_q	LP_mix	LP_id
Haifa	2018	1	24217	Q1	112403.0	2432458.313	port_row	1.072405159502948	monthly	54.0	57.909878613159194	54.0
Haifa	2018	2	24218	Q1	112638.0	2617941.7199999997	port_row	1.1431319670792899	monthly	54.0	61.72912622228165	54.00000000000001
Haifa	2018	3	24219	Q1	126799.0	2530486.29	port_row	0.9889618789355752	monthly	54.0	53.40394146252106	53.99999999999999
Haifa	2018	4	24220	Q2	130683.0	2830216.76	port_row	1.073227998114482	monthly	54.0	57.954311898182034	54.0
Haifa	2018	5	24221	Q2	127879.0	2650406.0009999997	port_row	1.0270806940770243	monthly	54.0	55.46235748015931	54.0
Haifa	2018	6	24222	Q2	131558.0	2475433.331	port_row	0.9324495913396842	monthly	54.0	50.35227793234294	54.0
Haifa	2018	7	24223	Q3	135914.0	2246470.07	port_row	0.8252307921100113	monthly	54.0	44.56246277394061	54.00000000000001
Haifa	2018	8	24224	Q3	127701.0	2254746.21	port_row	0.8749732153895436	monthly	54.0	47.24855363103536	54.0
Haifa	2018	9	24225	Q3	111052.0	2282924.06	port_row	1.0187238456677365	monthly	54.0	55.011087666057776	53.99999999999999
Haifa	2018	10	24226	Q4	121552.0	2442325.644	port_row	0.9957099606295449	monthly	54.0	53.76833787399542	54.0
Haifa	2018	11	24227	Q4	119024.0	2369774.08	port_row	0.9866515325104903	monthly	54.0	53.279182755566474	54.0
Haifa	2018	12	24228	Q4	111947.0	2397849.86	port_row	1.0614533646436703	monthly	54.0	57.3184816907582	54.0
Haifa	2019	1	24229	Q1	123013.0	2470007.68	port_row	0.9523663686706558	monthly	56.0	53.33251664555672	55.99999999999999
Haifa	2019	2	24230	Q1	106443.0	2325576.96	port_row	1.0362638948950955	monthly	56.0	58.03077811412535	56.0
Haifa	2019	3	24231	Q1	125746.0	2816989.27	port_row	1.0625460735916434	monthly	56.0	59.502580121132034	56.0
Haifa	2019	4	24232	Q2	127316.0	2526060.42	port_row	0.9410604150577159	monthly	56.0	52.69938324323209	56.0
Haifa	2019	5	24233	Q2	118131.0	2426771.23	port_row	0.974365087351957	monthly	56.0	54.56444489170959	55.99999999999999
