port	terminal	year	quarters_in_s2	months_with_labor	has_pi
Ashdod	Ashdod-HCT	2020	4	0	False
Ashdod	Ashdod-HCT	2021	4	12	True
Ashdod	Ashdod-HCT	2022	4	12	True
Ashdod	Ashdod-HCT	2023	4	12	True
Ashdod	Ashdod-HCT	2024	4	12	True
Ashdod	Ashdod-Legacy	2020	4	12	True
Ashdod	Ashdod-Legacy	2021	4	12	True
Ashdod	Ashdod-Legacy	2022	4	12	True
Ashdod	Ashdod-Legacy	2023	4	12	True
Ashdod	Ashdod-Legacy	2024	4	12	True
Haifa	Haifa-Bayport	2020	4	0	False
Haifa	Haifa-Bayport	2021	4	12	True
Haifa	Haifa-Bayport	2022	4	12	True
Haifa	Haifa-Bayport	2023	4	12	True
Haifa	Haifa-Bayport	2024	4	12	True
Haifa	Haifa-Legacy	2020	4	12	True
Haifa	Haifa-Legacy	2021	4	12	True
Haifa	Haifa-Legacy	2022	4	12	True
Haifa	Haifa-Legacy	2023	4	12	True
Haifa	Haifa-Legacy	2024	4	12	True
