port	year	month	month_index	L_hours_port_m
Ashdod	2018	1	24217	2970.341463414634
Ashdod	2018	2	24218	2655.731707317073
Ashdod	2018	3	24219	2991.853658536585
Ashdod	2018	4	24220	2857.1951219512193
Ashdod	2018	5	24221	2669.2195121951218
Ashdod	2018	6	24222	3224.80487804878
Ashdod	2018	7	24223	3471.170731707317
Ashdod	2018	8	24224	3332.7073170731705
Ashdod	2018	9	24225	2340.3902439024387
Ashdod	2018	10	24226	3344.097560975609
Ashdod	2018	11	24227	3184.682926829268
Ashdod	2018	12	24228	2987.3414634146343
Ashdod	2019	1	24229	2928.1666666666665
Ashdod	2019	2	24230	3209.523809523809
Ashdod	2019	3	24231	2808.642857142857
Ashdod	2019	4	24232	3202.9285714285716
Ashdod	2019	5	24233	3084.690476190476
Ashdod	2019	6	24234	3306.9761904761904
Ashdod	2019	7	24235	3561.142857142857
Ashdod	2019	8	24236	3148.571428571429
Ashdod	2019	9	24237	3041.3809523809523
Ashdod	2019	10	24238	2693.8809523809527
Ashdod	2019	11	24239	2835.904761904762
Ashdod	2019	12	24240	2787.6190476190477
Ashdod	2020	1	24241	3037.358974358974
Ashdod	2020	2	24242	3225.487179487179
Ashdod	2020	3	24243	3055.7692307692305
Ashdod	2020	4	24244	2925.6153846153843
Ashdod	2020	5	24245	3113.4871794871797
Ashdod	2020	6	24246	3499.5641025641025
Ashdod	2020	7	24247	3674.897435897436
Ashdod	2020	8	24248	3726.999999999999
Ashdod	2020	9	24249	3489.358974358974
Ashdod	2020	10	24250	3707.897435897435
Ashdod	2020	11	24251	3540.333333333333
Ashdod	2020	12	24252	3631.410256410256
Ashdod	2021	1	24253	3420.435897435897
Ashdod	2021	2	24254	3059.564102564102
Ashdod	2021	3	24255	3508.487179487179
Ashdod	2021	4	24256	3357.564102564102
Ashdod	2021	5	24257	3588.358974358974
Ashdod	2021	6	24258	3741.358974358974
Ashdod	2021	7	24259	3964.2251509187904
Ashdod	2021	8	24260	4021.484542051042
Ashdod	2021	9	24261	2774.9734086029875
Ashdod	2021	10	24262	3542.8302994061446
Ashdod	2021	11	24263	3584.1758071999693
Ashdod	2021	12	24264	3584.1758071999693
Ashdod	2022	1	24265	3489.4532745514475
Ashdod	2022	2	24266	3489.4532745514475
Ashdod	2022	3	24267	3489.4532745514475
Ashdod	2022	4	24268	3691.6461335085346
Ashdod	2022	5	24269	3691.6461335085346
Ashdod	2022	6	24270	3691.6461335085346
Ashdod	2022	7	24271	4161.405855982202
Ashdod	2022	8	24272	4161.405855982202
Ashdod	2022	9	24273	4161.405855982202
Ashdod	2022	10	24274	3687.151623556871
Ashdod	2022	11	24275	3687.151623556871
Ashdod	2022	12	24276	3687.151623556871
Ashdod	2023	1	24277	3935.211904761905
Ashdod	2023	2	24278	3935.211904761905
Ashdod	2023	3	24279	3935.211904761905
Ashdod	2023	4	24280	4559.86369047619
Ashdod	2023	5	24281	4559.86369047619
Ashdod	2023	6	24282	4559.86369047619
Ashdod	2023	7	24283	4518.6125
Ashdod	2023	8	24284	4518.6125
Ashdod	2023	9	24285	4518.6125
Ashdod	2023	10	24286	3326.8386904761905
Ashdod	2023	11	24287	3326.8386904761905
Ashdod	2023	12	24288	3326.8386904761905
Ashdod	2024	1	24289	3022.028976128847
Ashdod	2024	2	24290	3022.028976128847
Ashdod	2024	3	24291	3022.028976128847
Ashdod	2024	4	24292	3311.5474547023296
Ashdod	2024	5	24293	3311.5474547023296
Ashdod	2024	6	24294	3311.5474547023296
Ashdod	2024	7	24295	3910.50920333621
Ashdod	2024	8	24296	3910.50920333621
Ashdod	2024	9	24297	3910.50920333621
Ashdod	2024	10	24298	3676.3746764452117
Ashdod	2024	11	24299	3676.3746764452117
Ashdod	2024	12	24300	3676.3746764452117
Haifa	2018	1	24217	2081.537037037037
Haifa	2018	2	24218	2085.8888888888887
Haifa	2018	3	24219	2348.12962962963
Haifa	2018	4	24220	2420.0555555555557
Haifa	2018	5	24221	2368.1296296296296
Haifa	2018	6	24222	2436.259259259259
Haifa	2018	7	24223	2516.9259259259256
Haifa	2018	8	24224	2364.8333333333335
Haifa	2018	9	24225	2056.5185185185187
Haifa	2018	10	24226	2250.962962962963
Haifa	2018	11	24227	2204.1481481481483
Haifa	2018	12	24228	2073.0925925925926
Haifa	2019	1	24229	2196.6607142857147
Haifa	2019	2	24230	1900.767857142857
Haifa	2019	3	24231	2245.464285714286
Haifa	2019	4	24232	2273.5
Haifa	2019	5	24233	2109.482142857143
Haifa	2019	6	24234	2000.4821428571431
Haifa	2019	7	24235	2076.1607142857147
Haifa	2019	8	24236	1857.25
Haifa	2019	9	24237	1829.4285714285716
Haifa	2019	10	24238	2064.714285714286
Haifa	2019	11	24239	2012.732142857143
Haifa	2019	12	24240	2061.125
Haifa	2020	1	24241	2384.75
Haifa	2020	2	24242	2318.2115384615386
Haifa	2020	3	24243	2484.5
Haifa	2020	4	24244	2550.7115384615386
Haifa	2020	5	24245	2326.7884615384614
Haifa	2020	6	24246	2154.3846153846152
Haifa	2020	7	24247	2395.326923076923
Haifa	2020	8	24248	2188.019230769231
Haifa	2020	9	24249	2179.653846153846
Haifa	2020	10	24250	2557.1923076923076
Haifa	2020	11	24251	2411.673076923077
Haifa	2020	12	24252	2210.9807692307695
Haifa	2021	1	24253	2704.936170212766
Haifa	2021	2	24254	2615.489361702128
Haifa	2021	3	24255	2686.68085106383
Haifa	2021	4	24256	2593.2978723404253
Haifa	2021	5	24257	2851.297872340426
Haifa	2021	6	24258	2768.6595744680853
Haifa	2021	7	24259	2580.950719154392
Haifa	2021	8	24260	2730.8078815465105
Haifa	2021	9	24261	2290.201277614755
Haifa	2021	10	24262	2606.1548363861057
Haifa	2021	11	24263	2757.3854722550113
Haifa	2021	12	24264	2757.3854722550113
Haifa	2022	1	24265	2969.3380083915863
Haifa	2022	2	24266	2969.3380083915863
Haifa	2022	3	24267	2969.3380083915863
Haifa	2022	4	24268	3304.4263011656717
Haifa	2022	5	24269	3304.4263011656717
Haifa	2022	6	24270	3304.4263011656717
Haifa	2022	7	24271	3154.5523981500437
Haifa	2022	8	24272	3154.5523981500437
Haifa	2022	9	24273	3154.5523981500437
Haifa	2022	10	24274	3898.703183843473
Haifa	2022	11	24275	3898.703183843473
Haifa	2022	12	24276	3898.703183843473
Haifa	2023	1	24277	2803.3808012093723
Haifa	2023	2	24278	2803.3808012093723
Haifa	2023	3	24279	2803.3808012093723
Haifa	2023	4	24280	3018.370483749055
Haifa	2023	5	24281	3018.370483749055
Haifa	2023	6	24282	3018.370483749055
Haifa	2023	7	24283	2789.650113378685
Haifa	2023	8	24284	2789.650113378685
Haifa	2023	9	24285	2789.650113378685
Haifa	2023	10	24286	2389.492214663643
Haifa	2023	11	24287	2389.492214663643
Haifa	2023	12	24288	2389.492214663643
Haifa	2024	1	24289	2406.315894308943
Haifa	2024	2	24290	2406.315894308943
Haifa	2024	3	24291	2406.315894308943
Haifa	2024	4	24292	2087.916666666667
Haifa	2024	5	24293	2087.916666666667
Haifa	2024	6	24294	2087.916666666667
Haifa	2024	7	24295	2266.458008130081
Haifa	2024	8	24296	2266.458008130081
Haifa	2024	9	24297	2266.458008130081
Haifa	2024	10	24298	2260.8255284552847
Haifa	2024	11	24299	2260.8255284552847
Haifa	2024	12	24300	2260.8255284552847
