port	year	month	quarter	TEU_port_m	L_hours_port_m
Ashdod	2018	1	1	121784.0	2970.341463414634
Ashdod	2018	2	1	108885.0	2655.731707317073
Ashdod	2018	3	1	122666.0	2991.853658536585
Ashdod	2018	4	2	117145.0	2857.1951219512193
Ashdod	2018	5	2	109438.0	2669.2195121951218
Ashdod	2018	6	2	132217.0	3224.80487804878
Ashdod	2018	7	3	142318.0	3471.170731707317
Ashdod	2018	8	3	136641.0	3332.7073170731705
Ashdod	2018	9	3	95956.0	2340.3902439024387
Ashdod	2018	10	4	137108.0	3344.097560975609
Ashdod	2018	11	4	130572.0	3184.682926829268
Ashdod	2018	12	4	122481.0	2987.3414634146343
Ashdod	2019	1	1	122983.0	2928.1666666666665
Ashdod	2019	2	1	134800.0	3209.523809523809
Ashdod	2019	3	1	117963.0	2808.642857142857
Ashdod	2019	4	2	134523.0	3202.9285714285716
Ashdod	2019	5	2	129557.0	3084.690476190476
Ashdod	2019	6	2	138893.0	3306.9761904761904
Ashdod	2019	7	3	149568.0	3561.142857142857
Ashdod	2019	8	3	132240.0	3148.571428571429
Ashdod	2019	9	3	127738.0	3041.3809523809523
Ashdod	2019	10	4	113143.0	2693.8809523809527
Ashdod	2019	11	4	119108.0	2835.904761904762
Ashdod	2019	12	4	117080.0	2787.6190476190477
Ashdod	2020	1	1	118457.0	3037.358974358974
Ashdod	2020	2	1	125794.0	3225.487179487179
Ashdod	2020	3	1	119175.0	3055.7692307692305
Ashdod	2020	4	2	114099.0	2925.6153846153843
Ashdod	2020	5	2	121426.0	3113.4871794871797
Ashdod	2020	6	2	136483.0	3499.5641025641025
Ashdod	2020	7	3	143321.0	3674.897435897436
Ashdod	2020	8	3	145353.0	3726.9999999999995
Ashdod	2020	9	3	136085.0	3489.358974358974
Ashdod	2020	10	4	144608.0	3707.8974358974356
Ashdod	2020	11	4	138073.0	3540.333333333333
Ashdod	2020	12	4	141625.0	3631.410256410256
Ashdod	2021	1	1	133397.0	3420.435897435897
Ashdod	2021	2	1	119323.0	3059.564102564102
Ashdod	2021	3	1	136831.0	3508.487179487179
Ashdod	2021	4	2	130945.0	3357.564102564102
Ashdod	2021	5	2	139946.0	3588.358974358974
Ashdod	2021	6	2	145913.0	3741.358974358974
Ashdod	2021	7	3	153718.73848734246	3859.3701500546294
Ashdod	2021	8	3	155939.0567175931	3915.115012299625
Ashdod	2021	9	3	107603.72972445995	2701.5744900048217
Ashdod	2021	10	4	136624.0	3370.636192485084
Ashdod	2021	11	4	138218.42823376844	3409.9721620882287
Ashdod	2021	12	4	138218.42823376844	3409.9721620882287
Ashdod	2022	1	1	126939.33333333333	3247.738738738738
Ashdod	2022	2	1	126939.33333333333	3247.738738738738
Ashdod	2022	3	1	126939.33333333333	3247.738738738738
Ashdod	2022	4	2	133588.33333333334	3370.981981981982
Ashdod	2022	5	2	133588.33333333334	3370.981981981982
Ashdod	2022	6	2	133588.33333333334	3370.981981981982
Ashdod	2022	7	3	144892.66666666666	3372.477477477477
Ashdod	2022	8	3	144892.66666666666	3372.477477477477
Ashdod	2022	9	3	144892.66666666666	3372.477477477477
Ashdod	2022	10	4	127004.41666666667	2901.045045045045
Ashdod	2022	11	4	127004.41666666667	2901.045045045045
Ashdod	2022	12	4	127004.41666666667	2901.045045045045
Ashdod	2023	1	1	130372.0	3935.211904761905
Ashdod	2023	2	1	130372.0	3935.211904761905
Ashdod	2023	3	1	130372.0	3935.211904761905
Ashdod	2023	4	2	147049.91666666666	4559.86369047619
Ashdod	2023	5	2	147049.91666666666	4559.86369047619
Ashdod	2023	6	2	147049.91666666666	4559.86369047619
Ashdod	2023	7	3	145760.75	4518.6125
Ashdod	2023	8	3	145760.75	4518.6125
Ashdod	2023	9	3	145760.75	4518.6125
Ashdod	2023	10	4	109155.08333333333	3326.8386904761905
Ashdod	2023	11	4	109155.08333333333	3326.8386904761905
Ashdod	2023	12	4	109155.08333333333	3326.8386904761905
Ashdod	2024	1	1	127665.91666666667	3022.028976128847
Ashdod	2024	2	1	127665.91666666667	3022.028976128847
Ashdod	2024	3	1	127665.91666666667	3022.028976128847
Ashdod	2024	4	2	149082.0	3311.5474547023296
Ashdod	2024	5	2	149082.0	3311.5474547023296
Ashdod	2024	6	2	149082.0	3311.5474547023296
Ashdod	2024	7	3	176031.5	3910.50920333621
Ashdod	2024	8	3	176031.5	3910.50920333621
Ashdod	2024	9	3	176031.5	3910.50920333621
Ashdod	2024	10	4	163254.58333333334	3676.3746764452117
Ashdod	2024	11	4	163254.58333333334	3676.3746764452117
Ashdod	2024	12	4	163254.58333333334	3676.3746764452117
Haifa	2018	1	1	112403.0	2081.537037037037
Haifa	2018	2	1	112638.0	2085.8888888888887
Haifa	2018	3	1	126799.0	2348.12962962963
Haifa	2018	4	2	130683.0	2420.0555555555557
Haifa	2018	5	2	127879.0	2368.1296296296296
Haifa	2018	6	2	131558.0	2436.259259259259
Haifa	2018	7	3	135914.0	2516.9259259259256
Haifa	2018	8	3	127701.0	2364.8333333333335
Haifa	2018	9	3	111052.0	2056.5185185185187
Haifa	2018	10	4	121552.0	2250.962962962963
Haifa	2018	11	4	119024.0	2204.1481481481483
Haifa	2018	12	4	111947.0	2073.0925925925926
Haifa	2019	1	1	123013.0	2196.6607142857147
Haifa	2019	2	1	106443.0	1900.7678571428573
Haifa	2019	3	1	125746.0	2245.464285714286
Haifa	2019	4	2	127316.0	2273.5
Haifa	2019	5	2	118131.0	2109.482142857143
Haifa	2019	6	2	112027.0	2000.4821428571431
Haifa	2019	7	3	116265.0	2076.1607142857147
Haifa	2019	8	3	104006.0	1857.25
Haifa	2019	9	3	102448.0	1829.4285714285716
Haifa	2019	10	4	115624.0	2064.714285714286
Haifa	2019	11	4	112713.0	2012.732142857143
Haifa	2019	12	4	115423.0	2061.125
Haifa	2020	1	1	124007.0	2384.75
Haifa	2020	2	1	120547.0	2318.2115384615386
Haifa	2020	3	1	129194.0	2484.5
Haifa	2020	4	2	132637.0	2550.7115384615386
Haifa	2020	5	2	120993.0	2326.7884615384614
Haifa	2020	6	2	112028.0	2154.3846153846152
Haifa	2020	7	3	124557.0	2395.326923076923
Haifa	2020	8	3	113777.0	2188.019230769231
Haifa	2020	9	3	113342.0	2179.653846153846
Haifa	2020	10	4	132974.0	2557.1923076923076
Haifa	2020	11	4	125407.0	2411.673076923077
Haifa	2020	12	4	114971.0	2210.9807692307695
Haifa	2021	1	1	127132.0	2704.936170212766
Haifa	2021	2	1	122928.0	2615.489361702128
Haifa	2021	3	1	126274.0	2686.68085106383
Haifa	2021	4	2	121885.0	2593.2978723404253
Haifa	2021	5	2	134011.0	2851.297872340426
Haifa	2021	6	2	130127.0	2768.6595744680853
Haifa	2021	7	3	121035.79893309214	2523.7384610499334
Haifa	2021	8	3	128063.47336382238	2670.273720939245
Haifa	2021	9	3	107400.86561765474	2239.4340988253102
Haifa	2021	10	4	121087.0	2399.772703866011
Haifa	2021	11	4	128113.46817057545	2539.0273432602503
Haifa	2021	12	4	128113.46817057545	2539.0273432602503
Haifa	2022	1	1	135321.58333333334	2514.1560283687945
Haifa	2022	2	1	135321.58333333334	2514.1560283687945
