reform	target	spec_name	event_time	beta	se	t	pvalue	n_obs	r2
haifa_comp	Haifa-Bayport terminal	baseline	-24	2.6622104089939396	2.5999341643244044e-14	102395300832000.78	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-23	2.7407284258101363	2.814489998094479e-14	97379220663982.39	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-22	2.4252775575963006	2.504424408800489e-14	96839718902033.2	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-21	2.486651882136271	7.008715963114681e-15	354794215548606.75	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-20	2.701563444876064	2.3663970319707022e-14	114163574766920.67	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-19	2.6609798540708525	2.1871353618929142e-14	121665073887691.94	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-18	2.6771341666987287	3.7155045960609864e-14	72053044142023.34	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-17	2.4866753886670483	4.1410702411957626e-14	60049099479872.71	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-16	2.5748783404791036	2.1691740248781905e-14	118703170467094.97	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-15	2.5810825683299843	1.8998397136676118e-14	135857912104976.66	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-14	2.513765418217683	1.784514144677615e-14	140865536186142.84	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-13	2.7613449985092435	5.08193377015462e-15	543365010918910.2	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-12	2.6650255528633977	2.943411636381514e-14	90542060781537.5	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-11	2.5793418137738175	2.782339769353607e-15	927040558519943.0	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-10	2.488525853022537	2.9101497090382526e-14	85511953054983.77	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-9	2.6055163937838937	1.6698750127280036e-14	156030623485249.5	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-8	2.6410360570863887	2.0611689825591782e-14	128132922600418.66	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-7	2.554860243528534	3.970044186238444e-14	64353446049405.94	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-6	2.636662651211464	1.582325211565263e-14	166632158290850.5	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-5	2.726828012254867	6.0092283111903094e-15	453773408338804.9	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-4	2.6302369579841516	6.590703342839782e-15	399082893154593.56	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-3	2.6711277717758772	3.1575035241477625e-14	84596192889344.05	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	baseline	-2	-2.5980729957950874	1.234109560225796e-14	-210522070286833.94	0.0	91	1.0
