reform	target	spec_name	event_time	beta	se	t	pvalue	n_obs	r2
haifa_comp	Haifa-Bayport terminal	porttr	-24	2.6265032548696543	1.8687188896129084e-11	140551009007.7655	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-23	2.7051351928262926	4.4886089697023753e-11	60266670834.67645	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-22	2.3897982457346916	2.556766160429895e-11	93469566467.23103	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-21	2.4512864914062895	3.0694962598015653e-11	79859569255.99117	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-20	2.6663119752680906	1.0532832317884244e-11	253142924409.87793	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-19	2.6258423056023767	4.1759914795756915e-11	62879493850.62395	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-18	2.642110539363248	4.86014851634612e-11	54362753123.22344	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-17	2.451765682452727	4.253256753621735e-11	57644431654.99	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-16	2.5400825553843243	1.5546006300939292e-11	163391324190.4998	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-15	2.546400704387821	5.5156095236636826e-11	46167167807.34693	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-14	2.479197475386748	4.81856194327496e-12	514509827739.5494	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-13	2.726890976819711	3.594879326617853e-11	75854868246.30728	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-12	2.630685452286026	2.3158488380442685e-11	113594868934.00334	0.0	91	1.0
haifa_comp	Haifa-Bayport terminal	porttr	-11	2.545115634336773	2.653338344606324e-11	95921262341.47466	0.0	91	1.0
