port	terminal	year	quarter	lp
Ashdod		2018	1	41.95359022066189
Ashdod		2018	2	42.39231654748067
Ashdod		2018	3	40.62765130625052
Ashdod		2018	4	39.02644192560694
Ashdod		2019	1	41.66531961169147
Ashdod		2019	2	40.79450900897822
Ashdod		2019	3	41.86852519896673
Ashdod		2019	4	43.671646180363574
Ashdod		2020	1	39.78278327725178
Ashdod		2020	2	40.81236177212366
Ashdod		2020	3	37.06561187181606
Ashdod		2020	4	38.3392430788085
Ashdod		2021	1	58.7519671481128
Ashdod		2021	2	54.505599684344794
Ashdod		2021	3	16.579057417965267
Ashdod		2021	4	0.2754333833905394
Ashdod	Ashdod-HCT	2021	Q3	17.077527195312864
Ashdod	Ashdod-HCT	2021	Q4	0.2769395597183855
Ashdod	Ashdod-HCT	2022	Q1	4.586522646803999
Ashdod	Ashdod-HCT	2022	Q2	14.352128569738545
Ashdod	Ashdod-HCT	2022	Q3	41.488278462491415
Ashdod	Ashdod-HCT	2022	Q4	57.97307032096604
Ashdod	Ashdod-HCT	2023	Q1	22.24527667978169
Ashdod	Ashdod-HCT	2023	Q2	34.66651848983294
Ashdod	Ashdod-HCT	2023	Q3	31.25762558407222
Ashdod	Ashdod-HCT	2023	Q4	23.830579246313167
Ashdod	Ashdod-HCT	2024	Q1	44.75831245098212
Ashdod	Ashdod-HCT	2024	Q2	70.609957151826
Ashdod	Ashdod-HCT	2024	Q3	65.94885697250784
Ashdod	Ashdod-HCT	2024	Q4	62.682873424684054
Ashdod	Ashdod-Legacy	2021	Q3	21.34690899414108
Ashdod	Ashdod-Legacy	2021	Q4	0.3461744496479818
Ashdod	Ashdod-Legacy	2022	Q1	5.733153308504999
Ashdod	Ashdod-Legacy	2022	Q2	17.940160712173178
Ashdod	Ashdod-Legacy	2022	Q3	51.86034807811427
Ashdod	Ashdod-Legacy	2022	Q4	72.46633790120755
Ashdod	Ashdod-Legacy	2023	Q1	27.806595849727113
Ashdod	Ashdod-Legacy	2023	Q2	43.33314811229117
Ashdod	Ashdod-Legacy	2023	Q3	39.07203198009027
Ashdod	Ashdod-Legacy	2023	Q4	29.78822405789146
Ashdod	Ashdod-Legacy	2024	Q1	27.88222742848066
Ashdod	Ashdod-Legacy	2024	Q2	43.98653068474406
Ashdod	Ashdod-Legacy	2024	Q3	41.0828945074639
Ashdod	Ashdod-Legacy	2024	Q4	39.04834737931138
Haifa		2018	1	57.82449117042111
Haifa		2018	2	54.5783155687015
Haifa		2018	3	48.8199006744757
Haifa		2018	4	54.77729258640167
Haifa		2019	1	56.90150032230272
Haifa		2019	2	55.32310751326782
Haifa		2019	3	56.47913142343628
Haifa		2019	4	55.296260740993176
Haifa		2020	1	56.86488286524865
Haifa		2020	2	51.10529297690116
Haifa		2020	3	51.49263419157549
Haifa		2020	4	48.537189966274674
Haifa		2021	1	78.34805578528552
Haifa		2021	2	77.70279667938017
Haifa		2021	3	0.2822059029051727
Haifa		2021	4	0.9934411330441072
Haifa	Haifa-Bayport	2021	Q3	0.3132552315866705
Haifa	Haifa-Bayport	2021	Q4	1.168595606909555
Haifa	Haifa-Bayport	2022	Q1	10.344218571662008
Haifa	Haifa-Bayport	2022	Q2	27.865006081181804
Haifa	Haifa-Bayport	2022	Q3	51.83817740872656
Haifa	Haifa-Bayport	2022	Q4	82.60565916291942
Haifa	Haifa-Bayport	2023	Q1	50.09284147902468
Haifa	Haifa-Bayport	2023	Q2	48.71723718811278
Haifa	Haifa-Bayport	2023	Q3	46.80826410937859
Haifa	Haifa-Bayport	2023	Q4	34.38165722348395
Haifa	Haifa-Bayport	2024	Q1	54.39438732897602
Haifa	Haifa-Bayport	2024	Q2	52.30615859508527
Haifa	Haifa-Bayport	2024	Q3	44.27021009830393
Haifa	Haifa-Bayport	2024	Q4	49.02924397763479
Haifa	Haifa-Legacy	2021	Q3	0.3411001410610413
Haifa	Haifa-Legacy	2021	Q4	1.2724707719681825
Haifa	Haifa-Legacy	2022	Q1	11.263704666920852
Haifa	Haifa-Legacy	2022	Q2	30.34189551062019
Haifa	Haifa-Legacy	2022	Q3	56.44601540061336
Haifa	Haifa-Legacy	2022	Q4	89.9483844218456
Haifa	Haifa-Legacy	2023	Q1	54.545538499382424
Haifa	Haifa-Legacy	2023	Q2	53.04765827150058
Haifa	Haifa-Legacy	2023	Q3	50.96899869687891
Haifa	Haifa-Legacy	2023	Q4	37.43780453223808
Haifa	Haifa-Legacy	2024	Q1	44.60339760976034
Haifa	Haifa-Legacy	2024	Q2	42.89105004796993
Haifa	Haifa-Legacy	2024	Q3	36.30157228060922
Haifa	Haifa-Legacy	2024	Q4	40.20398006166053
