port	terminal	year	quarter	lp	qtr	Y	t_index
Ashdod		2018	1	41.95359022066189	2018Q1	3.7365640125804176	0
Ashdod		2018	2	42.39231654748067	2018Q2	3.746967132313947	1
Ashdod		2018	3	40.62765130625052	2018Q3	3.704448901443459	2
Ashdod		2018	4	39.02644192560694	2018Q4	3.66423941448526	3
Ashdod		2019	1	41.66531961169147	2019Q1	3.729669118792183	4
Ashdod		2019	2	40.79450900897822	2019Q2	3.708547489239717	5
Ashdod		2019	3	41.86852519896673	2019Q3	3.7345343560757716	6
Ashdod		2019	4	43.671646180363574	2019Q4	3.7766990626963985	7
Ashdod		2020	1	39.78278327725178	2020Q1	3.683434237726678	8
Ashdod		2020	2	40.81236177212366	2020Q2	3.708985020130422	9
Ashdod		2020	3	37.06561187181606	2020Q3	3.612689636047863	10
Ashdod		2020	4	38.3392430788085	2020Q4	3.6464739950858527	11
Ashdod		2021	1	58.7519671481128	2021Q1	4.073324635835846	12
Ashdod		2021	2	54.505599684344794	2021Q2	3.9983034428928774	13
Ashdod		2021	3	16.579057417965267	2021Q3	2.8081402975461778	14
Ashdod		2021	4	0.2754333833905394	2021Q4	-1.2894094822032987	15
Ashdod	Ashdod-HCT	2021	3	17.077527195312864	2021Q3	2.8377634000871206	14
Ashdod	Ashdod-HCT	2021	4	0.2769395597183855	2021Q4	-1.283955992565508	15
Ashdod	Ashdod-HCT	2022	1	4.586522646803999	2022Q1	1.523122143664747	16
Ashdod	Ashdod-HCT	2022	2	14.352128569738545	2022Q2	2.663898263591431	17
Ashdod	Ashdod-HCT	2022	3	41.488278462491415	2022Q3	3.725410940654121	18
Ashdod	Ashdod-HCT	2022	4	57.97307032096604	2022Q4	4.059978597912634	19
Ashdod	Ashdod-HCT	2023	1	22.24527667978169	2023Q1	3.102129702022044	20
Ashdod	Ashdod-HCT	2023	2	34.66651848983294	2023Q2	3.5457743361323857	21
Ashdod	Ashdod-HCT	2023	3	31.25762558407222	2023Q3	3.442263365105003	22
Ashdod	Ashdod-HCT	2023	4	23.830579246313167	2023Q4	3.170969598255984	23
Ashdod	Ashdod-HCT	2024	1	44.75831245098212	2024Q1	3.801277180565467	24
Ashdod	Ashdod-HCT	2024	2	70.609957151826	2024Q2	4.257171170699379	25
Ashdod	Ashdod-HCT	2024	3	65.94885697250784	2024Q3	4.188879547284664	26
Ashdod	Ashdod-HCT	2024	4	62.682873424684054	2024Q4	4.138088259204846	27
