port,year,quarter,qtr,t_index,Y,terminal,is_synth_pre,tau_comp,tau_priv,nyt_ok_comp
Ashdod,2018,1,2018Q1,0,3.7365640125804176,HCT,1,,,
Ashdod,2018,2,2018Q2,1,3.746967132313947,HCT,1,,,
Ashdod,2018,3,2018Q3,2,3.704448901443459,HCT,1,,,
Ashdod,2018,4,2018Q4,3,3.66423941448526,HCT,1,,,
Ashdod,2019,1,2019Q1,4,3.729669118792183,HCT,1,,,
Ashdod,2019,2,2019Q2,5,3.708547489239717,HCT,1,,,
Ashdod,2019,3,2019Q3,6,3.734534356075771,HCT,1,,,
Ashdod,2019,4,2019Q4,7,3.7766990626963985,HCT,1,,,
Ashdod,2020,1,2020Q1,8,3.683434237726678,HCT,1,,,
Ashdod,2020,2,2020Q2,9,3.708985020130422,HCT,1,,,
Ashdod,2020,3,2020Q3,10,3.612689636047863,HCT,1,,,
Ashdod,2020,4,2020Q4,11,3.6464739950858527,HCT,1,,,
Ashdod,2021,1,2021Q1,12,4.073324635835846,HCT,1,,,
Ashdod,2021,2,2021Q2,13,3.9983034428928774,HCT,1,,,
Ashdod,2021,3,2021Q3,14,2.8377634000871206,HCT,0,,,
Ashdod,2021,4,2021Q4,15,-1.283955992565508,HCT,0,,,
Ashdod,2022,1,2022Q1,16,1.523122143664747,HCT,0,,,
Ashdod,2022,2,2022Q2,17,2.663898263591431,HCT,0,,,
Ashdod,2022,3,2022Q3,18,3.725410940654121,HCT,0,,,
Ashdod,2022,4,2022Q4,19,4.059978597912634,HCT,0,,,
Ashdod,2023,1,2023Q1,20,3.102129702022044,HCT,0,,,
Ashdod,2023,2,2023Q2,21,3.5457743361323857,HCT,0,,,
Ashdod,2023,3,2023Q3,22,3.442263365105003,HCT,0,,,
Ashdod,2023,4,2023Q4,23,3.170969598255984,HCT,0,,,
Ashdod,2024,1,2024Q1,24,3.801277180565467,HCT,0,,,
Ashdod,2024,2,2024Q2,25,4.257171170699379,HCT,0,,,
Ashdod,2024,3,2024Q3,26,4.188879547284664,HCT,0,,,
Ashdod,2024,4,2024Q4,27,4.138088259204846,HCT,0,,,
Ashdod,2018,1,2018Q1,0,3.7365640125804176,Legacy,1,,,
Ashdod,2018,2,2018Q2,1,3.746967132313947,Legacy,1,,,
Ashdod,2018,3,2018Q3,2,3.704448901443459,Legacy,1,,,
Ashdod,2018,4,2018Q4,3,3.66423941448526,Legacy,1,,,
Ashdod,2019,1,2019Q1,4,3.729669118792183,Legacy,1,,,
Ashdod,2019,2,2019Q2,5,3.708547489239717,Legacy,1,,,
Ashdod,2019,3,2019Q3,6,3.734534356075771,Legacy,1,,,
Ashdod,2019,4,2019Q4,7,3.7766990626963985,Legacy,1,,,
Ashdod,2020,1,2020Q1,8,3.683434237726678,Legacy,1,,,
Ashdod,2020,2,2020Q2,9,3.708985020130422,Legacy,1,,,
Ashdod,2020,3,2020Q3,10,3.612689636047863,Legacy,1,,,
Ashdod,2020,4,2020Q4,11,3.6464739950858527,Legacy,1,,,
Ashdod,2021,1,2021Q1,12,4.073324635835846,Legacy,1,,,
Ashdod,2021,2,2021Q2,13,3.9983034428928774,Legacy,1,,,
Ashdod,2021,3,2021Q3,14,3.0609069514013307,Legacy,0,,,
Ashdod,2021,4,2021Q4,15,-1.0608124412512987,Legacy,0,,,
Ashdod,2022,1,2022Q1,16,1.7462656949789568,Legacy,0,,,
Ashdod,2022,2,2022Q2,17,2.8870418149056403,Legacy,0,,,
Ashdod,2022,3,2022Q3,18,3.94855449196833,Legacy,0,,,
Ashdod,2022,4,2022Q4,19,4.283122149226844,Legacy,0,,,
Ashdod,2023,1,2023Q1,20,3.3252732533362543,Legacy,0,,,
Ashdod,2023,2,2023Q2,21,3.7689178874465954,Legacy,0,,,
Ashdod,2023,3,2023Q3,22,3.665406916419214,Legacy,0,,,
Ashdod,2023,4,2023Q4,23,3.3941131495701935,Legacy,0,,,
Ashdod,2024,1,2024Q1,24,3.327989476118541,Legacy,0,,,
Ashdod,2024,2,2024Q2,25,3.783883466252453,Legacy,0,,,
Ashdod,2024,3,2024Q3,26,3.7155918428377386,Legacy,0,,,
Ashdod,2024,4,2024Q4,27,3.664800554757921,Legacy,0,,,
Haifa,2018,1,2018Q1,0,4.057412408604876,Legacy,1,,,
Haifa,2018,2,2018Q2,1,3.999636653109228,Legacy,1,,,
Haifa,2018,3,2018Q3,2,3.8881380304374615,Legacy,1,,,
Haifa,2018,4,2018Q4,3,4.003275739218187,Legacy,1,,,
Haifa,2019,1,2019Q1,4,4.041321708487699,Legacy,1,,,
Haifa,2019,2,2019Q2,5,4.013190678632987,Legacy,1,,,
Haifa,2019,3,2019Q3,6,4.033871214586501,Legacy,1,,,
Haifa,2019,4,2019Q4,7,4.01270528853855,Legacy,1,,,
Haifa,2020,1,2020Q1,8,4.040677977759999,Legacy,1,,,
Haifa,2020,2,2020Q2,9,3.9338880726068175,Legacy,1,,,
Haifa,2020,3,2020Q3,10,3.9414387720342807,Legacy,1,,,
Haifa,2020,4,2020Q4,11,3.882330307528236,Legacy,1,,,
Haifa,2021,1,2021Q1,12,4.36116115401151,Legacy,1,,,
Haifa,2021,2,2021Q2,13,4.352891250025475,Legacy,1,,,
Haifa,2021,3,2021Q3,14,-1.0755791760101543,Legacy,0,,,
Haifa,2021,4,2021Q4,15,0.240960500195003,Legacy,0,,,
Haifa,2022,1,2022Q1,16,2.4215855798710386,Legacy,0,,,
Haifa,2022,2,2022Q2,17,3.412529447599063,Legacy,0,,,
Haifa,2022,3,2022Q3,18,4.033284701755592,Legacy,0,,,
Haifa,2022,4,2022Q4,19,4.499235999388614,Legacy,0,,,
Haifa,2023,1,2023Q1,20,3.999035921571936,Legacy,0,,,
Haifa,2023,2,2023Q2,21,3.9711907221724303,Legacy,0,,,
Haifa,2023,3,2023Q3,22,3.9312175792086017,Legacy,0,,,
Haifa,2023,4,2023Q4,23,3.622681010259628,Legacy,0,,,
Haifa,2024,1,2024Q1,24,3.79781003571554,Legacy,0,,,
Haifa,2024,2,2024Q2,25,3.758663180578598,Legacy,0,,,
Haifa,2024,3,2024Q3,26,3.5918610538482074,Legacy,0,,,
Haifa,2024,4,2024Q4,27,3.6939659972331222,Legacy,0,,,
Haifa,2018,1,2018Q1,0,4.057412408604876,SIPG,1,,,
Haifa,2018,2,2018Q2,1,3.999636653109228,SIPG,1,,,
Haifa,2018,3,2018Q3,2,3.8881380304374615,SIPG,1,,,
Haifa,2018,4,2018Q4,3,4.003275739218187,SIPG,1,,,
Haifa,2019,1,2019Q1,4,4.041321708487699,SIPG,1,,,
Haifa,2019,2,2019Q2,5,4.013190678632987,SIPG,1,,,
Haifa,2019,3,2019Q3,6,4.033871214586501,SIPG,1,,,
Haifa,2019,4,2019Q4,7,4.01270528853855,SIPG,1,,,
Haifa,2020,1,2020Q1,8,4.040677977759999,SIPG,1,,,
Haifa,2020,2,2020Q2,9,3.9338880726068175,SIPG,1,,,
Haifa,2020,3,2020Q3,10,3.9414387720342807,SIPG,1,,,
Haifa,2020,4,2020Q4,11,3.882330307528236,SIPG,1,,,
Haifa,2021,1,2021Q1,12,4.36116115401151,SIPG,1,,,
Haifa,2021,2,2021Q2,13,4.352891250025475,SIPG,1,,,
Haifa,2021,3,2021Q3,14,-1.1607369843504618,SIPG,0,,,
Haifa,2021,4,2021Q4,15,0.1558026918546959,SIPG,0,,,
Haifa,2022,1,2022Q1,16,2.336427771530732,SIPG,0,,,
Haifa,2022,2,2022Q2,17,3.3273716392587556,SIPG,0,,,
Haifa,2022,3,2022Q3,18,3.948126893415286,SIPG,0,,,
Haifa,2022,4,2022Q4,19,4.414078191048307,SIPG,0,,,
Haifa,2023,1,2023Q1,20,3.913878113231629,SIPG,0,,,
Haifa,2023,2,2023Q2,21,3.886032913832124,SIPG,0,,,
Haifa,2023,3,2023Q3,22,3.8460597708682944,SIPG,0,,,
Haifa,2023,4,2023Q4,23,3.537523201919321,SIPG,0,,,
Haifa,2024,1,2024Q1,24,3.996260974439378,SIPG,0,,,
Haifa,2024,2,2024Q2,25,3.9571141193024366,SIPG,0,,,
Haifa,2024,3,2024Q3,26,3.7903119925720454,SIPG,0,,,
Haifa,2024,4,2024Q4,27,3.892416935956961,SIPG,0,,,
