role,k,beta,se,ci_lo,ci_hi,n_k
entrant,-8,3.772927025058109,0.09613578973140606,3.5845008771845532,3.961353172931665,19
entrant,-7,3.7250642318823557,0.11868552663087042,3.4924405996858496,3.9576878640788618,2
entrant,-6,3.8383115666309338,0.12510090014998296,3.5931138023369673,4.0835093309249,2
entrant,-5,4.687811941209778,0.6267178271745153,3.4594449999477277,5.9161788824718275,2
entrant,-4,3.444873130952665,0.11698292846504797,3.215586591161171,3.674159670744159,2
entrant,-3,3.559488147714584,0.17721253544448112,3.212151578243401,3.906824717185767,2
entrant,-2,3.60464237498912,0.1946586264815167,3.223111467085347,3.9861732828928926,2
entrant,0,1.1389625321132044,2.640693394696782,-4.036796521492488,6.314721585718897,1
entrant,1,4.350155641266026,0.41771599756011873,3.5314322860481933,5.168878996483858,1
entrant,2,3.9707252758171885,0.05633835568346077,3.8603020986776055,4.081148452956771,1
entrant,3,3.8858885167762507,0.0257884536392354,3.8353431476433495,3.936433885909152,1
entrant,4,3.6181977074314617,0.24851390397404444,3.1311104556423346,4.1052849592205884,1
