port	date	TEU	tons	L_hours	LP_port
Ashdod	2008-01-01	60353.0	789324.0		
Ashdod	2008-02-01	70824.0	967407.0		
Ashdod	2008-03-01	71390.0	1331155.0		
Ashdod	2008-04-01	66996.0	1169886.0		
Ashdod	2008-05-01	67275.0	1214213.0		
Ashdod	2008-06-01	62796.0	1225146.0		
Ashdod	2008-07-01	74263.0	1488748.0		
Ashdod	2008-08-01	59704.0	1447610.0		
Ashdod	2008-09-01	60414.0	1232531.0		
Ashdod	2008-10-01	81383.0	1254503.0		
Ashdod	2008-11-01	78682.0	1408462.0		
Ashdod	2008-12-01	73840.0	1386282.0		
Ashdod	2010-01-01	81756.0	1487386.0		
Ashdod	2010-02-01	83970.0	1507974.0		
Ashdod	2010-03-01	94434.0	1677514.0		
Ashdod	2010-04-01	89477.0	1634874.0		
Ashdod	2010-05-01	90051.0	1653914.0		
Ashdod	2010-06-01	86733.0	1640101.0		
Ashdod	2010-07-01	83713.0	1443589.0		
Ashdod	2010-08-01	79168.0	1589659.0		
Ashdod	2010-09-01	69693.0	1201755.0		
Ashdod	2010-10-01	82483.0	1581262.0		
Ashdod	2010-11-01	88697.0	1548865.0		
Ashdod	2010-12-01	87407.0	1568111.0		
Ashdod	2011-01-01	87399.0	1448705.2000000002		
Ashdod	2011-02-01	94697.0	1526429.2		
Ashdod	2011-03-01	115191.0	1992598.4		
Ashdod	2011-04-01	105157.0	1612125.1		
Ashdod	2011-05-01	89491.0	1639217.7999999998		
Ashdod	2011-06-01	107759.0	1607785.6		
Ashdod	2011-07-01	94530.0	1577841.4		
Ashdod	2011-08-01	102746.0	1750676.8		
Ashdod	2011-09-01	89843.0	1464863.9		
Ashdod	2011-10-01	92240.0	1552159.1		
Ashdod	2011-11-01	87058.0	1478645.5		
Ashdod	2011-12-01	93992.0	1564385.8		
Ashdod	2012-01-01	97707.0	1654667.0		
Ashdod	2012-02-01	86667.0	1303313.7		
Ashdod	2012-03-01	103621.0	1624453.2		
Ashdod	2012-04-01	106083.0	1735597.7		
Ashdod	2012-05-01	111086.0	1934621.9		
Ashdod	2012-06-01	100854.0	1653757.6		
Ashdod	2012-07-01	110748.0	1885340.9		
Ashdod	2012-08-01	97918.0	1937916.4		
Ashdod	2012-09-01	82517.0	1377041.3		
Ashdod	2012-10-01	97414.0	1616420.7		
Ashdod	2012-11-01	85932.0	1380159.2		
Ashdod	2012-12-01	89904.0	1511124.8		
Ashdod	2013-01-01	89926.0	1484351.7999999998		
Ashdod	2013-02-01	96528.0	1608608.4		
Ashdod	2013-03-01	91882.0	1513049.9		
Ashdod	2013-04-01	104279.0	1760986.7		
Ashdod	2013-05-01	111714.0	1807982.1		
Ashdod	2013-06-01	101692.0	1711845.8		
Ashdod	2013-07-01	108589.0	1821023.7		
Ashdod	2013-08-01	107306.0	1579696.3		
Ashdod	2013-09-01	85071.0	1322822.7		
Ashdod	2013-10-01	101386.0	1568714.3		
Ashdod	2013-11-01	89345.0	1530275.5		
Ashdod	2013-12-01	93950.0	1504203.1		
Ashdod	2014-01-01	107357.0	1920064.883		
Ashdod	2014-02-01	108099.0	1837724.096		
Ashdod	2014-03-01	102626.0	1921768.161		
Ashdod	2014-04-01	93827.0	1454077.0480000002		
Ashdod	2014-05-01	109065.0	1832208.221		
Ashdod	2014-06-01	116241.0	1814163.901		
Ashdod	2014-07-01	100992.0	1669554.369		
Ashdod	2014-08-01	100807.0	1855631.205		
Ashdod	2014-09-01	100582.0	1830413.568		
Ashdod	2014-10-01	98121.0	1705707.701		
Ashdod	2014-11-01	97901.0	1659022.872		
Ashdod	2014-12-01	114088.0	2054402.677		
Ashdod	2015-01-01	96537.0	1752376.553		
Ashdod	2015-02-01	87184.0	1546442.546		
Ashdod	2015-03-01	122441.0	2052655.45		
Ashdod	2015-04-01	107726.0	1594157.53		
Ashdod	2015-05-01	110275.0	1938223.863		
Ashdod	2015-06-01	122463.0	2029901.66		
Ashdod	2015-07-01	116615.0	1931978.133		
Ashdod	2015-08-01	115750.0	1944713.443		
Ashdod	2015-09-01	95846.0	1667770.489		
Ashdod	2015-10-01	114184.0	1884551.243		
Ashdod	2015-11-01	104993.0	1913449.846		
Ashdod	2015-12-01	112753.0	2017264.096		
Ashdod	2016-01-01	107585.0	1850074.737		
Ashdod	2016-02-01	118541.0	1876305.293		
Ashdod	2016-03-01	127047.0	2190340.875		
Ashdod	2016-04-01	113170.0	1900095.204		
Ashdod	2016-05-01	134577.0	2343729.806		
Ashdod	2016-06-01	124959.0	2160076.032		
Ashdod	2016-07-01	132733.0	1969651.699		
Ashdod	2016-08-01	135287.0	2200069.23		
Ashdod	2016-09-01	119528.0	2060654.845		
Ashdod	2016-10-01	95417.0	1535362.4		
Ashdod	2016-11-01	120578.0	2083301.0		
Ashdod	2016-12-01	113654.0	1916756.8		
Ashdod	2017-01-01	126983.0	2046010.3		
Ashdod	2017-02-01	117643.0	1859265.8		
Ashdod	2017-03-01	126787.0	2044830.4		
Ashdod	2017-04-01	121339.0	1860419.625		
Ashdod	2017-05-01	139737.0	2052046.3		
Ashdod	2017-06-01	140987.0	1974351.0		
Ashdod	2017-07-01	133204.0	2107158.249		
Ashdod	2017-08-01	130595.0	2045322.711		
Ashdod	2017-09-01	115407.0	1813764.76		
Ashdod	2017-10-01	122074.0	1845309.195		
Ashdod	2017-11-01	123967.0	2051298.147		
Ashdod	2017-12-01	126749.0	1884772.599		
Ashdod	2018-01-01	121784.0	2003195.046	41.0	0.0
Ashdod	2018-02-01	108885.0	1853087.047	41.0	0.0
Ashdod	2018-03-01	122666.0	1899461.314	41.0	0.0
Ashdod	2018-04-01	117145.0	1925889.287	41.0	0.0
Ashdod	2018-05-01	109438.0	1982586.069	41.0	0.0
Ashdod	2018-06-01	132217.0	1971086.063	41.0	0.0
Ashdod	2018-07-01	142318.0	2204184.377	41.0	0.0
Ashdod	2018-08-01	136641.0	2189938.196	41.0	0.0
Ashdod	2018-09-01	95956.0	1524789.63	41.0	0.0
Ashdod	2018-10-01	137108.0	2025302.49	41.0	0.0
Ashdod	2018-11-01	130572.0	2055397.323	41.0	0.0
Ashdod	2018-12-01	122481.0	1840130.271	41.0	0.0
Ashdod	2019-01-01	122983.0	1957516.591	42.0	0.0
Ashdod	2019-02-01	134800.0	1858875.069	42.0	0.0
Ashdod	2019-03-01	117963.0	1896987.78	42.0	0.0
Ashdod	2019-04-01	134523.0	2000467.108	42.0	0.0
Ashdod	2019-05-01	129557.0	2054487.8950000005	42.0	0.0
Ashdod	2019-06-01	138893.0	1958733.971	42.0	0.0
Ashdod	2019-07-01	149568.0	2197893.836	42.0	0.0
Ashdod	2019-08-01	132240.0	2181836.7509999997	42.0	0.0
Ashdod	2019-09-01	127738.0	1892738.77	42.0	0.0
Ashdod	2019-10-01	113143.0	1792693.28	42.0	0.0
Ashdod	2019-11-01	119108.0	1982382.752	42.0	0.0
Ashdod	2019-12-01	117080.0	1815306.523	42.0	0.0
Ashdod	2020-01-01	118457.0	1835242.1	39.0	0.0
Ashdod	2020-02-01	125794.0	1933438.078	39.0	0.0
Ashdod	2020-03-01	119175.0	1856792.117	39.0	0.0
Ashdod	2020-04-01	114099.0	1850266.505	39.0	0.0
Ashdod	2020-05-01	121426.0	1997070.614	39.0	0.0
Ashdod	2020-06-01	136483.0	2044783.716	39.0	0.0
Ashdod	2020-07-01	143321.0	2081313.428	39.0	0.0
