port	date	TEU	tons	LP_mix	TEU_term	LP_term_avg	LP_term_wavg	L_hours	tons_tonsopt	TEU_teuopt	LP_port
Ashdod	2008-01-01	60353.0	789324.0						789.324	60353.0	
Ashdod	2008-02-01	70824.0	967407.0						967.407	70824.0	
Ashdod	2008-03-01	71390.0	1331155.0						1331.155	71390.0	
Ashdod	2008-04-01	66996.0	1169886.0						1169.886	66996.0	
Ashdod	2008-05-01	67275.0	1214213.0						1214.213	67275.0	
Ashdod	2008-06-01	62796.0	1225146.0						1225.146	62796.0	
Ashdod	2008-07-01	74263.0	1488748.0						1488.748	74263.0	
Ashdod	2008-08-01	59704.0	1447610.0						1447.61	59704.0	
Ashdod	2008-09-01	60414.0	1232531.0						1232.531	60414.0	
Ashdod	2008-10-01	81383.0	1254503.0						1254.503	81383.0	
Ashdod	2008-11-01	78682.0	1408462.0						1408.462	78682.0	
Ashdod	2008-12-01	73840.0	1386282.0						1386.282	73840.0	
Ashdod	2010-01-01	81756.0	1487386.0						1487.386	81756.0	
Ashdod	2010-02-01	83970.0	1507974.0						1507.974	83970.0	
Ashdod	2010-03-01	94434.0	1677514.0						1677.514	94434.0	
Ashdod	2010-04-01	89477.0	1634874.0						1634.874	89477.0	
Ashdod	2010-05-01	90051.0	1653914.0						1653.914	90051.0	
Ashdod	2010-06-01	86733.0	1640101.0						1640.101	86733.0	
Ashdod	2010-07-01	83713.0	1443589.0						1443.589	83713.0	
Ashdod	2010-08-01	79168.0	1589659.0						1589.659	79168.0	
Ashdod	2010-09-01	69693.0	1201755.0						1201.755	69693.0	
Ashdod	2010-10-01	82483.0	1581262.0						1581.262	82483.0	
Ashdod	2010-11-01	88697.0	1548865.0						1548.865	88697.0	
Ashdod	2010-12-01	87407.0	1568111.0						1568.111	87407.0	
Ashdod	2011-01-01	87399.0	1448705.2000000002						1448.7052	87399.0	
Ashdod	2011-02-01	94697.0	1526429.2						1526.4292	94697.0	
Ashdod	2011-03-01	115191.0	1992598.4						1992.5984	115191.0	
Ashdod	2011-04-01	105157.0	1612125.1						1612.1251	105157.0	
Ashdod	2011-05-01	89491.0	1639217.7999999998						1639.2178	89491.0	
Ashdod	2011-06-01	107759.0	1607785.6						1607.7856	107759.0	
Ashdod	2011-07-01	94530.0	1577841.4						1577.8414	94530.0	
Ashdod	2011-08-01	102746.0	1750676.8						1750.6768	102746.0	
Ashdod	2011-09-01	89843.0	1464863.9						1464.8639	89843.0	
Ashdod	2011-10-01	92240.0	1552159.1						1552.1591	92240.0	
Ashdod	2011-11-01	87058.0	1478645.5						1478.6455	87058.0	
Ashdod	2011-12-01	93992.0	1564385.8						1564.3858	93992.0	
Ashdod	2012-01-01	97707.0	1654667.0						1654.667	97707.0	
Ashdod	2012-02-01	86667.0	1303313.7						1303.3137	86667.0	
Ashdod	2012-03-01	103621.0	1624453.2						1624.4532	103621.0	
Ashdod	2012-04-01	106083.0	1735597.7						1735.5977	106083.0	
Ashdod	2012-05-01	111086.0	1934621.9						1934.6219	111086.0	
