port	date	TEU	tons	LP_port	L_hours
Ashdod	2008-01-01		789324.0		
Ashdod	2008-02-01		967407.0		
Ashdod	2008-03-01		1331155.0		
Ashdod	2008-04-01		1169886.0		
Ashdod	2008-05-01		1214213.0		
Ashdod	2008-06-01		1225146.0		
Ashdod	2008-07-01		1488748.0		
Ashdod	2008-08-01		1447610.0		
Ashdod	2008-09-01		1232531.0		
Ashdod	2008-10-01		1254503.0		
Ashdod	2008-11-01		1408462.0		
Ashdod	2008-12-01		1386282.0		
Ashdod	2010-01-01		1487386.0		
Ashdod	2010-02-01		1507974.0		
Ashdod	2010-03-01		1677514.0		
Ashdod	2010-04-01		1634874.0		
Ashdod	2010-05-01		1653914.0		
Ashdod	2010-06-01		1640101.0		
Ashdod	2010-07-01		1443589.0		
Ashdod	2010-08-01		1589659.0		
Ashdod	2010-09-01		1201755.0		
Ashdod	2010-10-01		1581262.0		
Ashdod	2010-11-01		1548865.0		
Ashdod	2010-12-01		1568111.0		
Ashdod	2011-01-01		1448705.2000000002		
Ashdod	2011-02-01		1526429.2		
Ashdod	2011-03-01		1992598.4		
Ashdod	2011-04-01		1612125.1		
Ashdod	2011-05-01		1639217.7999999998		
Ashdod	2011-06-01		1607785.6		
Ashdod	2011-07-01		1577841.4		
Ashdod	2011-08-01		1750676.8		
Ashdod	2011-09-01		1464863.9		
Ashdod	2011-10-01		1552159.1		
Ashdod	2011-11-01		1478645.5		
Ashdod	2011-12-01		1564385.8		
Ashdod	2012-01-01		1654667.0		
Ashdod	2012-02-01		1303313.7		
Ashdod	2012-03-01		1624453.2		
Ashdod	2012-04-01		1735597.7		
Ashdod	2012-05-01		1934621.9		
Ashdod	2012-06-01		1653757.6		
Ashdod	2012-07-01		1885340.9		
Ashdod	2012-08-01		1937916.4		
Ashdod	2012-09-01		1377041.3		
Ashdod	2012-10-01		1616420.7		
Ashdod	2012-11-01		1380159.2		
Ashdod	2012-12-01		1511124.8		
Ashdod	2013-01-01		1484351.7999999998		
Ashdod	2013-02-01		1608608.4		
Ashdod	2013-03-01		1513049.9		
Ashdod	2013-04-01		1760986.7		
Ashdod	2013-05-01		1807982.1		
Ashdod	2013-06-01		1711845.8		
Ashdod	2013-07-01		1821023.7		
Ashdod	2013-08-01		1579696.3		
Ashdod	2013-09-01		1322822.7		
Ashdod	2013-10-01		1568714.3		
Ashdod	2013-11-01		1530275.5		
Ashdod	2013-12-01		1504203.1		
Ashdod	2014-01-01		1920064.883		
Ashdod	2014-02-01		1837724.096		
Ashdod	2014-03-01		1921768.161		
Ashdod	2014-04-01		1454077.0480000002		
Ashdod	2014-05-01		1832208.221		
Ashdod	2014-06-01		1814163.901		
Ashdod	2014-07-01		1669554.369		
Ashdod	2014-08-01		1855631.205		
Ashdod	2014-09-01		1830413.568		
Ashdod	2014-10-01		1705707.701		
Ashdod	2014-11-01		1659022.872		
Ashdod	2014-12-01		2054402.677		
Ashdod	2015-01-01		1752376.553		
Ashdod	2015-02-01		1546442.546		
Ashdod	2015-03-01		2052655.45		
Ashdod	2015-04-01		1594157.53		
Ashdod	2015-05-01		1938223.863		
Ashdod	2015-06-01		2029901.66		
Ashdod	2015-07-01		1931978.133		
Ashdod	2015-08-01		1944713.443		
Ashdod	2015-09-01		1667770.489		
Ashdod	2015-10-01		1884551.243		
Ashdod	2015-11-01		1913449.846		
Ashdod	2015-12-01		2017264.096		
Ashdod	2016-01-01		1850074.737		
Ashdod	2016-02-01		1876305.293		
Ashdod	2016-03-01		2190340.875		
Ashdod	2016-04-01		1900095.204		
Ashdod	2016-05-01		2343729.806		
Ashdod	2016-06-01		2160076.032		
Ashdod	2016-07-01		1969651.699		
Ashdod	2016-08-01		2200069.23		
Ashdod	2016-09-01		2060654.845		
Ashdod	2016-10-01		1535362.4		
Ashdod	2016-11-01		2083301.0		
Ashdod	2016-12-01		1916756.8		
Ashdod	2017-01-01		2046010.3		
Ashdod	2017-02-01		1859265.8		
Ashdod	2017-03-01		2044830.4		
Ashdod	2017-04-01		1860419.625		
Ashdod	2017-05-01		2052046.3		
Ashdod	2017-06-01		1974351.0		
Ashdod	2017-07-01		2107158.249		
Ashdod	2017-08-01		2045322.711		
Ashdod	2017-09-01		1813764.76		
Ashdod	2017-10-01		1845309.195		
Ashdod	2017-11-01		2051298.147		
Ashdod	2017-12-01		1884772.599		
Ashdod	2018-01-01		2003195.046		41.0
Ashdod	2018-02-01		1853087.047		41.0
Ashdod	2018-03-01		1899461.314		41.0
Ashdod	2018-04-01		1925889.287		41.0
Ashdod	2018-05-01		1982586.069		41.0
Ashdod	2018-06-01		1971086.063		41.0
Ashdod	2018-07-01		2204184.377		41.0
Ashdod	2018-08-01		2189938.196		41.0
Ashdod	2018-09-01		1524789.63		41.0
Ashdod	2018-10-01		2025302.49		41.0
Ashdod	2018-11-01		2055397.323		41.0
Ashdod	2018-12-01		1840130.271		41.0
Ashdod	2019-01-01		1957516.591		42.0
Ashdod	2019-02-01		1858875.069		42.0
Ashdod	2019-03-01		1896987.78		42.0
Ashdod	2019-04-01		2000467.108		42.0
Ashdod	2019-05-01		2054487.8950000005		42.0
Ashdod	2019-06-01		1958733.971		42.0
Ashdod	2019-07-01		2197893.836		42.0
Ashdod	2019-08-01		2181836.7509999997		42.0
Ashdod	2019-09-01		1892738.77		42.0
Ashdod	2019-10-01		1792693.28		42.0
Ashdod	2019-11-01		1982382.752		42.0
Ashdod	2019-12-01		1815306.523		42.0
Ashdod	2020-01-01		1835242.1		39.0
Ashdod	2020-02-01		1933438.078		39.0
Ashdod	2020-03-01		1856792.117		39.0
Ashdod	2020-04-01		1850266.505		39.0
Ashdod	2020-05-01		1997070.614		39.0
Ashdod	2020-06-01		2044783.716		39.0
Ashdod	2020-07-01		2081313.428		39.0
Ashdod	2020-08-01		2099862.499		39.0
Ashdod	2020-09-01		1946341.8		39.0
Ashdod	2020-10-01		2106747.689		39.0
Ashdod	2020-11-01		2089987.8		39.0
Ashdod	2020-12-01		2131800.0379999997		39.0
Ashdod	2021-01-01		1978636.9		70.2
Ashdod	2021-02-01		1874818.0		70.2
Ashdod	2021-03-01		2055116.9		70.2
Ashdod	2021-04-01		1879225.8		70.2
Ashdod	2021-05-01		1939299.0		70.2
Ashdod	2021-06-01		2051865.6		70.2
Ashdod	2021-07-01		1922524.0		70.2
Ashdod	2021-08-01		2207186.2		70.2
Ashdod	2021-09-01		1624674.2		70.2
Ashdod	2021-10-01		1923009.5		70.2
Ashdod	2021-11-01		2204187.1999999997		70.2
Ashdod	2021-12-01		1927213.6		70.2
Ashdod	2022-01-01		1721866.8		66.6
Ashdod	2022-02-01		1906141.4		66.6
Ashdod	2022-03-01		2069856.9		66.6
Ashdod	2022-04-01		1853583.6		66.6
Ashdod	2022-05-01		2106472.8		66.6
Ashdod	2022-06-01		1862577.5		66.6
Ashdod	2022-07-01		1773857.1		66.6
Ashdod	2022-08-01		1982143.7		66.6
Ashdod	2022-09-01		1612166.0		66.6
Ashdod	2022-10-01		1478682.1		66.6
Ashdod	2022-11-01		1613172.0		66.6
Ashdod	2022-12-01		1754065.1		66.6
Ashdod	2023-01-01		1812451.1		63.0
Ashdod	2023-02-01		1508859.5		63.0
Ashdod	2023-03-01		1710729.4		63.0
Ashdod	2023-04-01		1328739.8		63.0
Ashdod	2023-05-01		1703804.9		63.0
Ashdod	2023-06-01		1825308.2		63.0
Ashdod	2023-07-01		1688590.8		63.0
Ashdod	2023-08-01		1693768.3		63.0
Ashdod	2023-09-01		1601157.0		63.0
Ashdod	2023-10-01		1353355.6		63.0
Ashdod	2023-11-01		1405591.0		63.0
Ashdod	2023-12-01		1368176.6		63.0
Ashdod	2024-01-01		1322543.7999999998		99.0
Ashdod	2024-02-01		1688545.2		99.0
Ashdod	2024-03-01		1676087.4		99.0
Ashdod	2024-04-01		1550867.2999999998		99.0
Ashdod	2024-05-01		1674636.9		99.0
Ashdod	2024-06-01		1530292.5		99.0
Ashdod	2024-07-01		1701165.7		99.0
Ashdod	2024-08-01		1743592.9		99.0
Ashdod	2024-09-01		1776113.7000000002		99.0
Ashdod	2024-10-01		1431902.7000000002		99.0
Ashdod	2024-11-01		1590222.6		99.0
Ashdod	2024-12-01		2013631.6		99.0
Ashdod	2025-01-01		1870507.5		
Ashdod	2025-02-01		1485993.5		
Ashdod	2025-03-01		1896035.5		
Ashdod	2025-04-01		1655904.2		
Ashdod	2025-05-01		1806261.0		
Ashdod	2025-06-01		1755260.6		
Ashdod	2025-07-01		1764887.7		
Ashdod	2025-08-01		1714340.0		
Haifa	2008-01-01		1575343.0		
Haifa	2008-02-01		1212838.0		
Haifa	2008-03-01		1785073.0		
Haifa	2008-04-01		1769230.0		
Haifa	2008-05-01		1813838.0		
Haifa	2008-06-01		1688466.0		
Haifa	2008-07-01		1763813.0		
Haifa	2008-08-01		1733596.0		
Haifa	2008-09-01		1469086.0		
Haifa	2008-10-01		1692932.0		
Haifa	2008-11-01		1596689.0		
Haifa	2008-12-01		1711888.0		
Haifa	2010-01-01		1674912.0		
Haifa	2010-02-01		1615840.0		
Haifa	2010-03-01		1954480.0		
Haifa	2010-04-01		1877809.0		
Haifa	2010-05-01		1899701.0		
Haifa	2010-06-01		1939198.0		
Haifa	2010-07-01		1990747.0		
Haifa	2010-08-01		1936847.0		
Haifa	2010-09-01		1774372.0		
Haifa	2010-10-01		1767699.3		
Haifa	2010-11-01		1721241.2		
Haifa	2010-12-01		1684631.9		
Haifa	2011-01-01		1525170.5		
Haifa	2011-02-01		1737424.8		
Haifa	2011-03-01		2080636.8000000005		
Haifa	2011-04-01		1911060.5		
Haifa	2011-05-01		2014700.1		
Haifa	2011-06-01		2141537.9		
Haifa	2011-07-01		1949421.1		
Haifa	2011-08-01		2038212.0		
Haifa	2011-09-01		1656888.1		
Haifa	2011-10-01		2000285.3		
Haifa	2011-11-01		1854520.2		
Haifa	2011-12-01		1642383.6		
Haifa	2012-01-01		2052133.5		
Haifa	2012-02-01		1620415.9		
Haifa	2012-03-01		2278564.5		
Haifa	2012-04-01		2064399.1999999995		
Haifa	2012-05-01		2277282.7		
Haifa	2012-06-01		1909408.8		
Haifa	2012-07-01		2015107.3		
Haifa	2012-08-01		2057228.6		
Haifa	2012-09-01		1826906.8		
Haifa	2012-10-01		1994132.0		
Haifa	2012-11-01		1874525.5		
Haifa	2012-12-01		2018011.4		
Haifa	2013-01-01		2187571.4		
Haifa	2013-02-01		2106727.9		
Haifa	2013-03-01		2219355.0		
Haifa	2013-04-01		2419272.5999999996		
Haifa	2013-05-01		2464014.4		
Haifa	2013-06-01		2137980.9		
Haifa	2013-07-01		2271838.4		
Haifa	2013-08-01		2358908.1999999997		
Haifa	2013-09-01		1915923.0		
Haifa	2013-10-01		1745361.9		
Haifa	2013-11-01		1842282.4		
Haifa	2013-12-01		2118601.6		
Haifa	2014-01-01		2205212.936		
