source,source_field,target_field,transform,notes
PORTS_API,teu_total,teu,identity,"If only loaded TEU available, document assumption"
PORTS_API,vessel_calls,vessel_calls,identity,""
PORTS_API,turnaround_hours_avg,turnaround_avg_hr,identity,""
PORTS_API,wait_hours_avg,wait_avg_hr,identity,""
HR_PORT_REPORT,employees,employees,identity,""
HR_PORT_REPORT,hours_worked,hours_worked,identity,""
ENGINEERING,sts_cranes,sts_cranes,identity,"Commissioning date -> monthly availability"
ENGINEERING,rtg_cranes,yard_cranes,identity,""
ENGINEERING,berth_depth_m,berth_depth_m,identity,"Usable depth"
ENGINEERING,berth_length_m,berth_length_m,identity,"Deep-water"
POLICY,privatized,privatized,identity,"0/1 by month"
POLICY,competition_active,competition_active,identity,"0/1 go-live"
POLICY,peer_competition_active,peer_competition_active,identity,"Spillover flag"
